,sox_unlimited_gram_salad,sox_unlimited_cilantro_salad,sox_unlimited_vegetable_salad
222,14.8987755,16.7943745,50.362845
223,14.8987755,16.7943745,50.362845
224,14.8987755,16.7943745,50.362845
225,14.8987755,16.7943745,50.362845
226,14.8987755,16.7943745,50.362845
227,14.8987755,16.7943745,50.362845
228,14.8987755,16.7943745,50.362845
229,14.8987755,16.7943745,50.362845
230,14.8987755,16.7943745,50.362845
231,14.8987755,16.7943745,50.362845
232,14.8987755,16.7943745,50.362845
233,13.77,12.085,42.595
234,13.995000000000001,11.875,42.88
235,13.92,12.030000000000001,42.8
236,14.385,12.16,43.445
237,14.280000000000001,12.145,43.394999999999996
238,14.24,12.175,43.285
239,14.129999999999999,11.94,43.14
240,14.115,12.35,43.05
241,14.155,12.4,42.825
242,14.195,12.425,42.69
243,14.14,12.325,41.17
244,14.18,12.525,42.74
245,14.004999999999999,12.4,43.0
246,13.885000000000002,12.535,43.065
247,13.875,12.52,42.995
248,13.945,12.43,43.03
249,13.895,12.7,43.08
250,13.895,12.614999999999998,43.015
251,13.895,12.614999999999998,43.015
252,13.785,13.16,43.39
253,13.775,12.845,43.11
254,13.915,12.9,43.2
255,13.780000000000001,13.015,43.175
256,13.68,13.01,43.18
257,13.760000000000002,13.315000000000001,42.935
258,13.780000000000001,13.17,42.915
259,13.665,12.915,42.97
260,13.615,12.985,43.085
261,13.600000000000001,12.92,42.95
262,13.735,12.335,42.91
263,13.594999999999999,12.365,42.925
264,13.555,11.495000000000001,42.82
265,13.48,11.635,42.78
266,13.445,11.845,42.59
267,13.465,11.74,42.635000000000005
