,helicopter_psi,helicopter_theta
320,1.7216,-0.40871999999999997
321,1.7224,-0.40871999999999997
322,1.7127,-0.40184000000000003
323,1.7305,-0.41236000000000006
324,1.7054,-0.40426999999999996
325,1.7281,-0.4152
326,1.7168,-0.41358
327,1.7305,-0.41843
328,1.7127,-0.41236000000000006
329,1.7119,-0.41276999999999997
330,1.7168,-0.41358
331,1.7265,-0.41803
332,1.7265,-0.41803
333,1.7241,-0.4156
334,1.7257,-0.41884
335,1.7297,-0.42289
336,1.7103,-0.41762
337,1.7168,-0.41601000000000005
338,1.7184,-0.42046000000000006
339,1.7127,-0.41358
340,1.7208,-0.41923999999999995
341,1.7273,-0.4237
342,1.7192,-0.41762
343,1.7241,-0.42167
344,1.7135,-0.41884
345,1.7135,-0.42005
346,1.716,-0.42572
347,1.7038,-0.42127
348,1.7192,-0.42613
349,1.72,-0.42733999999999994
350,1.72,-0.42733999999999994
351,1.7192,-0.42451000000000005
352,1.7249,-0.42694
353,1.7103,-0.42005
354,1.7265,-0.42855
355,1.7192,-0.42694
356,1.7014,-0.42208
357,1.7224,-0.43341
358,1.7079,-0.42653
359,1.716,-0.42733999999999994
360,1.7233,-0.43341
361,1.7014,-0.42815
362,1.7289,-0.43665
363,1.7249,-0.43382
364,1.7176,-0.43138999999999994
365,1.7305,-0.43543999999999994
366,1.7297,-0.43665
367,1.7152,-0.42733999999999994
368,1.7233,-0.4326
369,1.7289,-0.43706000000000006
370,1.7265,-0.43422
371,1.7233,-0.43341
372,1.7176,-0.4322
373,1.7063,-0.42936
374,1.7322,-0.43583999999999995
375,1.7127,-0.42572
376,1.7281,-0.43422
377,1.7281,-0.43422
378,1.7208,-0.4322
379,1.7103,-0.43017
380,1.7224,-0.43301000000000006
381,1.7192,-0.4326
382,1.7152,-0.42694
383,1.7216,-0.43098000000000003
384,1.7241,-0.43341
385,1.703,-0.42773999999999995
386,1.7111,-0.42613
387,1.7152,-0.43138999999999994
388,1.7305,-0.43543999999999994
389,1.7224,-0.4326
390,1.7257,-0.43463
391,1.7054,-0.42733999999999994
392,1.7249,-0.43382
393,1.7249,-0.43422
394,1.7297,-0.43503000000000003
395,1.7297,-0.43503000000000003
396,1.7168,-0.4322
397,1.7257,-0.43382
398,1.7208,-0.4326
399,1.7249,-0.43382
400,1.7022,-0.42855
401,1.7087,-0.42653
402,1.7022,-0.42815
403,1.7079,-0.42977
404,1.7257,-0.43503000000000003
405,1.7265,-0.43463
406,1.7103,-0.42613
407,1.7022,-0.42815
408,1.7216,-0.43301000000000006
409,1.7289,-0.42977
410,1.72,-0.42694
411,1.7314,-0.42977
412,1.7046,-0.42289
413,1.7046,-0.42289
414,1.7079,-0.42289
415,1.7208,-0.42451000000000005
416,1.7192,-0.42328999999999994
417,1.7038,-0.42289
418,1.7208,-0.42491
