,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
747,11.0,12.0,12.0,11.0
748,11.0,12.0,11.0,11.0
749,11.0,12.0,11.0,11.0
750,11.0,12.0,11.0,11.0
751,11.0,12.0,12.0,11.0
752,11.0,12.0,11.0,11.0
753,11.0,12.0,12.0,11.0
754,11.0,12.0,12.0,11.0
755,11.0,12.0,12.0,11.0
756,11.0,12.0,12.0,11.0
757,11.0,12.0,12.0,11.0
758,11.0,12.0,12.0,11.0
759,12.0,13.0,13.0,11.0
760,12.0,13.0,13.0,11.0
761,11.0,12.0,13.0,11.0
762,11.0,12.0,13.0,11.0
763,11.0,12.0,13.0,11.0
764,11.0,12.0,13.0,11.0
765,12.0,13.0,14.0,11.0
766,12.0,13.0,14.0,11.0
767,12.0,13.0,13.0,12.0
768,12.0,13.0,13.0,11.0
769,12.0,12.0,13.0,11.0
770,11.0,13.0,13.0,11.0
771,11.0,13.0,13.0,11.0
772,12.0,13.0,14.0,11.0
773,12.0,14.0,14.0,12.0
774,12.0,14.0,14.0,11.0
775,12.0,13.0,14.0,11.0
776,12.0,14.0,14.0,11.0
777,12.0,13.0,13.0,11.0
778,12.0,13.0,13.0,12.0
779,12.0,14.0,14.0,12.0
780,13.0,14.0,14.0,12.0
781,14.0,14.0,14.0,13.0
782,14.0,14.0,14.0,14.0
783,14.0,13.0,13.0,14.0
784,14.0,14.0,14.0,14.0
785,15.0,14.0,14.0,14.0
786,14.0,14.0,14.0,14.0
787,13.0,17.0,17.0,13.0
788,13.0,16.0,16.0,13.0
789,13.0,16.0,15.0,13.0
790,13.0,16.0,16.0,13.0
791,13.0,17.0,17.0,13.0
792,13.0,18.0,18.0,12.0
793,13.0,19.0,19.0,12.0
794,13.0,18.0,18.0,12.0
795,12.0,19.0,19.0,12.0
796,12.0,20.0,20.0,12.0
797,13.0,22.0,22.0,13.0
798,12.0,21.0,21.0,13.0
799,13.0,21.0,21.0,13.0
800,14.0,19.0,20.0,14.0
801,17.0,18.0,19.0,16.0
802,16.0,18.0,20.0,15.0
803,14.0,17.0,18.0,13.0
804,14.0,19.0,19.0,14.0
805,14.0,18.0,18.0,14.0
806,15.0,17.0,18.0,14.0
807,15.0,18.0,18.0,15.0
808,15.0,18.0,18.0,15.0
809,18.0,18.0,19.0,18.0
810,19.0,19.0,20.0,18.0
811,18.0,20.0,20.0,18.0
812,18.0,21.0,21.0,18.0
813,19.0,24.0,24.0,18.0
814,18.0,26.0,27.0,17.0
815,17.0,27.0,28.0,17.0
816,15.0,27.0,27.0,15.0
817,15.0,28.0,28.0,16.0
818,16.0,27.0,26.0,17.0
819,18.0,28.0,29.0,18.0
820,16.0,26.0,26.0,15.0
821,17.0,26.0,26.0,17.0
822,16.0,25.0,25.0,16.0
823,17.0,28.0,28.0,18.0
824,18.0,27.0,27.0,18.0
825,20.0,27.0,26.0,20.0
826,16.0,19.0,18.0,17.0
827,18.0,20.0,19.0,19.0
828,20.0,19.0,19.0,20.0
829,20.0,19.0,18.0,20.0
830,19.0,18.0,18.0,19.0
831,19.0,18.0,19.0,19.0
832,20.0,18.0,18.0,20.0
833,21.0,20.0,20.0,22.0
834,19.0,22.0,21.0,19.0
835,21.0,22.0,21.0,21.0
836,19.0,22.0,21.0,20.0
837,21.0,24.0,24.0,21.0
838,19.0,25.0,24.0,19.0
839,20.0,24.0,23.0,21.0
840,19.0,22.0,22.0,19.0
841,20.0,21.0,21.0,20.0
842,19.0,21.0,21.0,20.0
843,18.0,23.0,22.0,19.0
844,20.0,24.0,24.0,21.0
845,22.0,19.0,19.0,22.0
846,22.0,19.0,19.0,22.0
847,21.0,19.0,20.0,20.0
848,19.0,19.0,19.0,19.0
849,20.0,19.0,20.0,19.0
850,19.0,23.0,24.0,18.0
851,20.0,21.0,23.0,18.0
852,24.0,20.0,23.0,21.0
853,30.0,24.0,29.0,25.0
854,32.0,24.0,31.0,24.0
855,38.0,24.0,33.0,29.0
856,43.0,24.0,34.0,33.0
857,43.0,27.0,36.0,36.0
858,47.0,27.0,38.0,40.0
859,52.0,30.0,46.0,37.0
860,47.0,29.0,45.0,32.0
861,51.0,35.0,51.0,35.0
862,56.0,36.0,52.0,40.0
863,44.0,34.0,47.0,32.0
864,34.0,32.0,38.0,27.0
865,29.0,30.0,35.0,25.0
866,25.0,27.0,28.0,23.0
867,17.0,24.0,22.0,20.0
868,16.0,24.0,20.0,19.0
869,17.0,24.0,19.0,21.0
870,16.0,24.0,19.0,20.0
871,17.0,23.0,18.0,22.0
872,20.0,21.0,17.0,24.0
873,20.0,21.0,17.0,23.0
874,22.0,20.0,17.0,25.0
875,20.0,19.0,16.0,24.0
876,19.0,19.0,15.0,23.0
877,19.0,19.0,16.0,22.0
878,19.0,20.0,16.0,23.0
879,18.0,19.0,17.0,19.0
880,15.0,19.0,18.0,16.0
881,17.0,21.0,19.0,18.0
882,16.0,21.0,20.0,17.0
883,14.0,21.0,19.0,15.0
884,14.0,20.0,19.0,14.0
885,13.0,19.0,19.0,13.0
886,13.0,20.0,19.0,14.0
887,13.0,18.0,18.0,14.0
888,14.0,19.0,18.0,14.0
889,13.0,17.0,17.0,13.0
890,13.0,17.0,16.0,13.0
891,13.0,16.0,15.0,14.0
892,13.0,15.0,15.0,14.0
893,15.0,15.0,15.0,15.0
894,15.0,15.0,15.0,15.0
895,16.0,15.0,14.0,17.0
896,16.0,15.0,14.0,17.0
897,17.0,16.0,16.0,17.0
898,16.0,16.0,15.0,17.0
899,16.0,16.0,16.0,16.0
900,16.0,15.0,15.0,16.0
901,14.0,16.0,15.0,15.0
902,14.0,18.0,17.0,15.0
903,13.0,15.0,15.0,14.0
904,13.0,15.0,14.0,14.0
905,13.0,15.0,14.0,14.0
906,13.0,14.0,14.0,13.0
907,13.0,14.0,14.0,13.0
908,13.0,14.0,14.0,13.0
909,12.0,14.0,14.0,12.0
910,12.0,15.0,14.0,12.0
911,12.0,14.0,14.0,12.0
912,12.0,14.0,14.0,12.0
913,12.0,13.0,13.0,12.0
914,12.0,12.0,12.0,12.0
915,12.0,13.0,13.0,12.0
916,12.0,13.0,13.0,12.0
917,12.0,12.0,13.0,12.0
918,12.0,12.0,12.0,11.0
919,11.0,12.0,12.0,11.0
920,12.0,12.0,12.0,11.0
921,11.0,12.0,12.0,11.0
922,11.0,12.0,12.0,11.0
923,11.0,12.0,12.0,11.0
924,11.0,12.0,13.0,11.0
925,11.0,13.0,13.0,11.0
926,11.0,12.0,13.0,11.0
927,11.0,12.0,11.0,11.0
928,11.0,12.0,12.0,11.0
929,11.0,12.0,11.0,11.0
930,11.0,12.0,11.0,11.0
931,11.0,12.0,11.0,11.0
932,11.0,12.0,11.0,11.0
933,11.0,12.0,12.0,11.0
934,11.0,12.0,12.0,11.0
935,11.0,12.0,12.0,11.0
936,12.0,12.0,12.0,11.0
937,12.0,13.0,14.0,11.0
938,12.0,12.0,12.0,11.0
939,12.0,12.0,12.0,11.0
940,12.0,12.0,12.0,11.0
941,12.0,12.0,12.0,12.0
942,12.0,12.0,12.0,11.0
943,12.0,13.0,14.0,11.0
944,12.0,12.0,13.0,11.0
945,12.0,12.0,13.0,11.0
946,11.0,12.0,12.0,11.0
947,12.0,12.0,13.0,11.0
948,12.0,12.0,13.0,11.0
949,11.0,12.0,13.0,11.0
950,12.0,12.0,12.0,11.0
951,11.0,12.0,11.0,11.0
952,11.0,12.0,12.0,11.0
953,11.0,13.0,13.0,11.0
954,11.0,13.0,13.0,11.0
955,11.0,13.0,13.0,11.0
956,11.0,12.0,12.0,11.0
957,11.0,12.0,12.0,11.0
958,12.0,12.0,13.0,11.0
959,12.0,12.0,13.0,11.0
960,12.0,12.0,13.0,11.0
961,11.0,12.0,12.0,11.0
962,11.0,12.0,12.0,11.0
963,11.0,12.0,12.0,11.0
964,11.0,12.0,12.0,11.0
965,11.0,12.0,12.0,11.0
966,11.0,12.0,12.0,11.0
967,11.0,12.0,12.0,11.0
968,11.0,12.0,12.0,11.0
969,11.0,12.0,11.0,11.0
970,11.0,12.0,12.0,11.0
971,11.0,12.0,12.0,11.0
972,11.0,12.0,12.0,11.0
973,11.0,12.0,12.0,12.0
974,11.0,12.0,12.0,12.0
975,11.0,12.0,11.0,11.0
976,11.0,12.0,11.0,12.0
977,11.0,12.0,12.0,11.0
978,11.0,12.0,12.0,11.0
979,11.0,12.0,12.0,11.0
980,11.0,12.0,12.0,11.0
981,11.0,12.0,12.0,11.0
982,12.0,12.0,12.0,11.0
983,12.0,12.0,13.0,11.0
984,12.0,12.0,12.0,11.0
985,12.0,12.0,12.0,11.0
986,11.0,12.0,12.0,11.0
987,11.0,12.0,12.0,11.0
988,11.0,12.0,12.0,11.0
989,12.0,12.0,13.0,12.0
990,12.0,14.0,14.0,12.0
991,11.0,13.0,13.0,11.0
992,11.0,13.0,13.0,11.0
993,11.0,12.0,12.0,11.0
994,11.0,12.0,12.0,11.0
995,12.0,13.0,13.0,11.0
996,12.0,13.0,13.0,11.0
997,12.0,13.0,13.0,11.0
998,12.0,13.0,14.0,11.0
999,11.0,12.0,12.0,11.0
