,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_walton
30,27.0,38.0,9.0,26.0,175.0,33.0,88.0,10.0,12.0
31,27.0,38.0,14.0,26.0,175.0,39.0,88.0,10.0,9.0
32,27.0,38.0,14.0,26.0,143.0,39.0,88.0,10.0,9.0
33,27.0,38.0,20.0,26.0,143.0,39.0,88.0,4.0,8.0
34,27.0,38.0,20.0,26.0,143.0,39.0,88.0,4.0,8.0
35,0.0,38.0,19.0,26.0,143.0,39.0,88.0,4.0,8.0
36,0.0,38.0,19.0,31.0,143.0,43.0,50.0,4.0,8.0
37,0.0,38.0,15.0,31.0,143.0,43.0,50.0,4.0,3.0
38,0.0,38.0,15.0,31.0,45.0,43.0,50.0,4.0,3.0
39,0.0,0.0,12.0,31.0,45.0,43.0,50.0,4.0,2.0
40,0.0,0.0,12.0,31.0,45.0,43.0,50.0,4.0,2.0
41,0.0,0.0,11.0,31.0,45.0,43.0,50.0,4.0,4.0
42,0.0,0.0,11.0,35.0,45.0,48.0,55.0,4.0,4.0
43,0.0,0.0,14.0,35.0,45.0,48.0,55.0,3.0,4.0
44,0.0,0.0,14.0,35.0,32.0,48.0,55.0,3.0,4.0
45,0.0,0.0,14.0,35.0,32.0,48.0,55.0,3.0,6.0
46,0.0,0.0,14.0,35.0,32.0,48.0,55.0,3.0,6.0
47,0.0,0.0,12.0,35.0,32.0,68.0,55.0,3.0,6.0
48,0.0,0.0,12.0,35.0,32.0,68.0,56.0,3.0,6.0
49,0.0,0.0,15.0,35.0,32.0,68.0,56.0,6.0,6.0
50,0.0,0.0,15.0,35.0,20.0,68.0,56.0,6.0,6.0
51,0.0,0.0,17.0,35.0,20.0,68.0,56.0,6.0,6.0
52,11.0,0.0,17.0,35.0,20.0,116.0,56.0,6.0,6.0
53,11.0,0.0,21.0,39.0,20.0,116.0,56.0,11.0,6.0
54,11.0,0.0,21.0,39.0,20.0,116.0,53.0,11.0,6.0
55,11.0,0.0,22.0,39.0,20.0,116.0,53.0,11.0,6.0
56,11.0,0.0,22.0,39.0,11.0,116.0,53.0,11.0,6.0
57,11.0,0.0,27.0,55.0,11.0,126.0,53.0,11.0,6.0
58,8.0,0.0,27.0,55.0,11.0,126.0,53.0,9.0,6.0
59,8.0,0.0,26.0,55.0,11.0,126.0,51.0,9.0,6.0
60,8.0,9.0,26.0,55.0,11.0,126.0,51.0,9.0,8.0
61,8.0,9.0,30.0,69.0,11.0,126.0,51.0,9.0,8.0
62,8.0,9.0,30.0,69.0,20.0,115.0,51.0,9.0,8.0
63,8.0,9.0,32.0,69.0,20.0,115.0,51.0,9.0,8.0
64,3.0,9.0,32.0,69.0,20.0,115.0,51.0,8.0,8.0
65,3.0,9.0,26.0,69.0,20.0,115.0,55.0,8.0,8.0
66,3.0,9.0,26.0,69.0,20.0,115.0,55.0,8.0,7.0
67,3.0,0.0,34.0,69.0,20.0,50.0,55.0,8.0,7.0
68,3.0,0.0,34.0,69.0,30.0,50.0,55.0,8.0,7.0
69,8.0,0.0,38.0,69.0,30.0,50.0,55.0,10.0,7.0
70,8.0,0.0,38.0,69.0,30.0,73.0,55.0,10.0,7.0
71,8.0,0.0,43.0,69.0,30.0,73.0,61.0,10.0,7.0
72,8.0,0.0,43.0,76.0,30.0,73.0,61.0,10.0,7.0
73,8.0,0.0,38.0,76.0,29.0,77.0,61.0,10.0,7.0
74,8.0,0.0,38.0,76.0,29.0,77.0,61.0,20.0,7.0
75,20.0,0.0,30.0,76.0,29.0,77.0,61.0,20.0,7.0
76,20.0,0.0,30.0,76.0,29.0,77.0,61.0,20.0,9.0
77,20.0,2.0,27.0,94.0,29.0,88.0,63.0,20.0,9.0
78,20.0,2.0,27.0,94.0,29.0,88.0,63.0,20.0,9.0
79,20.0,2.0,29.0,94.0,26.0,88.0,63.0,20.0,9.0
80,20.0,2.0,29.0,94.0,26.0,88.0,63.0,36.0,12.0
81,40.0,2.0,28.0,94.0,26.0,111.0,63.0,36.0,12.0
82,40.0,2.0,28.0,131.0,26.0,111.0,63.0,63.0,12.0
83,40.0,2.0,22.0,131.0,26.0,111.0,68.0,63.0,12.0
84,40.0,2.0,22.0,131.0,26.0,111.0,68.0,63.0,12.0
85,40.0,2.0,22.0,131.0,30.0,111.0,68.0,63.0,12.0
86,48.0,2.0,22.0,131.0,30.0,111.0,68.0,63.0,12.0
87,48.0,2.0,40.0,219.0,30.0,128.0,68.0,56.0,12.0
88,48.0,2.0,40.0,219.0,30.0,128.0,68.0,56.0,12.0
89,48.0,9.0,46.0,219.0,30.0,128.0,86.0,56.0,12.0
90,48.0,9.0,46.0,219.0,30.0,128.0,86.0,56.0,12.0
91,48.0,9.0,39.0,219.0,28.0,128.0,86.0,34.0,8.0
92,61.0,9.0,39.0,235.0,28.0,130.0,86.0,34.0,8.0
93,61.0,9.0,34.0,235.0,28.0,130.0,86.0,34.0,8.0
94,61.0,14.0,34.0,235.0,28.0,130.0,86.0,34.0,8.0
95,61.0,14.0,27.0,235.0,28.0,130.0,78.0,34.0,8.0
96,61.0,14.0,27.0,235.0,23.0,130.0,78.0,34.0,8.0
97,61.0,14.0,24.0,170.0,23.0,200.0,78.0,6.0,11.0
98,54.0,14.0,24.0,170.0,23.0,200.0,78.0,6.0,11.0
99,54.0,14.0,38.0,170.0,23.0,200.0,78.0,6.0,11.0
100,54.0,14.0,38.0,170.0,23.0,200.0,78.0,6.0,11.0
101,54.0,14.0,57.0,170.0,23.0,200.0,78.0,6.0,11.0
102,54.0,14.0,57.0,155.0,41.0,200.0,78.0,6.0,7.0
103,54.0,14.0,59.0,155.0,41.0,200.0,78.0,11.0,7.0
104,46.0,14.0,59.0,155.0,41.0,200.0,78.0,11.0,7.0
105,46.0,14.0,52.0,155.0,41.0,100.0,78.0,11.0,7.0
106,46.0,17.0,52.0,101.0,41.0,100.0,98.0,11.0,7.0
107,46.0,17.0,52.0,101.0,41.0,100.0,98.0,11.0,4.0
108,46.0,17.0,52.0,101.0,54.0,100.0,98.0,11.0,4.0
109,54.0,17.0,47.0,101.0,54.0,100.0,98.0,17.0,4.0
110,54.0,17.0,47.0,105.0,54.0,86.0,98.0,17.0,4.0
111,54.0,17.0,49.0,105.0,54.0,86.0,98.0,17.0,4.0
112,54.0,17.0,49.0,105.0,54.0,86.0,81.0,17.0,4.0
113,54.0,17.0,33.0,105.0,54.0,86.0,81.0,17.0,4.0
114,54.0,17.0,33.0,102.0,52.0,86.0,81.0,20.0,4.0
115,72.0,17.0,29.0,102.0,52.0,78.0,81.0,20.0,4.0
116,72.0,0.0,29.0,102.0,52.0,78.0,81.0,20.0,4.0
117,72.0,0.0,17.0,102.0,52.0,78.0,81.0,20.0,4.0
118,72.0,0.0,17.0,102.0,52.0,78.0,73.0,20.0,11.0
119,72.0,0.0,19.0,102.0,52.0,78.0,73.0,20.0,11.0
120,72.0,0.0,19.0,110.0,42.0,78.0,73.0,17.0,11.0
121,70.0,0.0,24.0,110.0,42.0,88.0,73.0,17.0,11.0
122,70.0,6.0,24.0,110.0,42.0,88.0,73.0,17.0,17.0
123,70.0,6.0,31.0,110.0,42.0,88.0,73.0,17.0,17.0
124,70.0,6.0,31.0,110.0,42.0,88.0,66.0,17.0,17.0
125,70.0,6.0,33.0,127.0,42.0,88.0,66.0,19.0,17.0
126,70.0,6.0,33.0,127.0,39.0,88.0,66.0,19.0,17.0
127,96.0,6.0,15.0,127.0,39.0,76.0,66.0,19.0,17.0
128,96.0,6.0,15.0,127.0,39.0,76.0,66.0,27.0,14.0
129,96.0,6.0,16.0,127.0,39.0,76.0,66.0,27.0,14.0
130,96.0,6.0,16.0,157.0,39.0,76.0,76.0,27.0,14.0
131,96.0,6.0,15.0,157.0,39.0,76.0,76.0,27.0,14.0
132,96.0,6.0,15.0,157.0,25.0,76.0,76.0,27.0,14.0
133,142.0,4.0,16.0,157.0,25.0,60.0,76.0,27.0,14.0
134,142.0,4.0,16.0,157.0,25.0,60.0,76.0,28.0,5.0
135,142.0,4.0,20.0,157.0,25.0,60.0,76.0,28.0,5.0
136,142.0,4.0,20.0,128.0,25.0,60.0,75.0,28.0,5.0
137,142.0,4.0,16.0,128.0,25.0,60.0,75.0,28.0,5.0
138,142.0,4.0,16.0,121.0,26.0,48.0,75.0,28.0,5.0
139,152.0,9.0,12.0,121.0,26.0,48.0,75.0,28.0,3.0
140,152.0,9.0,12.0,121.0,26.0,48.0,75.0,25.0,3.0
141,152.0,9.0,13.0,121.0,26.0,48.0,75.0,25.0,3.0
142,152.0,9.0,13.0,121.0,26.0,48.0,96.0,25.0,3.0
143,152.0,9.0,18.0,274.0,26.0,48.0,96.0,25.0,3.0
144,152.0,21.0,18.0,274.0,16.0,44.0,96.0,25.0,3.0
145,111.0,21.0,20.0,274.0,16.0,44.0,96.0,23.0,3.0
146,111.0,21.0,20.0,274.0,16.0,44.0,96.0,23.0,3.0
147,111.0,21.0,25.0,155.0,16.0,44.0,96.0,23.0,3.0
148,111.0,21.0,25.0,155.0,16.0,44.0,100.0,23.0,3.0
149,111.0,21.0,31.0,155.0,16.0,32.0,100.0,28.0,4.0
150,70.0,21.0,31.0,155.0,19.0,32.0,100.0,28.0,4.0
151,70.0,21.0,70.0,155.0,19.0,32.0,100.0,28.0,4.0
152,70.0,21.0,70.0,155.0,19.0,32.0,100.0,28.0,4.0
153,70.0,21.0,96.0,147.0,19.0,36.0,100.0,28.0,5.0
154,70.0,21.0,96.0,147.0,19.0,36.0,112.0,28.0,5.0
155,70.0,21.0,97.0,147.0,19.0,36.0,112.0,29.0,5.0
156,74.0,8.0,97.0,147.0,19.0,36.0,112.0,29.0,5.0
157,74.0,8.0,113.0,147.0,19.0,36.0,112.0,29.0,5.0
158,74.0,8.0,113.0,147.0,19.0,36.0,112.0,29.0,5.0
159,74.0,8.0,178.0,240.0,19.0,36.0,112.0,29.0,5.0
160,74.0,8.0,178.0,240.0,19.0,36.0,112.0,25.0,5.0
161,74.0,8.0,184.0,240.0,19.0,36.0,112.0,25.0,5.0
162,97.0,12.0,184.0,240.0,12.0,36.0,112.0,25.0,5.0
163,97.0,12.0,189.0,240.0,12.0,36.0,112.0,25.0,1.0
164,97.0,12.0,189.0,240.0,12.0,36.0,112.0,25.0,1.0
165,97.0,12.0,166.0,297.0,12.0,35.0,112.0,25.0,1.0
166,97.0,12.0,166.0,297.0,12.0,35.0,119.0,17.0,1.0
167,97.0,12.0,143.0,297.0,12.0,35.0,119.0,17.0,1.0
168,113.0,14.0,143.0,297.0,12.0,35.0,119.0,17.0,7.0
169,113.0,14.0,149.0,297.0,12.0,35.0,119.0,17.0,7.0
170,113.0,14.0,149.0,136.0,12.0,52.0,119.0,17.0,7.0
171,113.0,14.0,76.0,136.0,12.0,52.0,119.0,17.0,7.0
172,113.0,14.0,76.0,136.0,12.0,52.0,142.0,17.0,7.0
173,113.0,14.0,25.0,136.0,12.0,52.0,142.0,17.0,7.0
174,140.0,0.0,25.0,136.0,16.0,61.0,142.0,17.0,7.0
175,140.0,0.0,23.0,136.0,16.0,61.0,142.0,17.0,7.0
176,140.0,0.0,23.0,142.0,16.0,61.0,142.0,17.0,7.0
177,140.0,0.0,18.0,142.0,16.0,61.0,142.0,17.0,7.0
178,140.0,0.0,18.0,142.0,16.0,61.0,156.0,21.0,5.0
179,140.0,0.0,18.0,142.0,24.0,61.0,156.0,21.0,5.0
180,172.0,10.0,18.0,142.0,24.0,56.0,156.0,21.0,5.0
181,172.0,10.0,6.0,128.0,24.0,56.0,156.0,21.0,5.0
182,172.0,10.0,6.0,128.0,24.0,56.0,156.0,21.0,5.0
183,172.0,10.0,10.0,137.0,24.0,56.0,156.0,21.0,6.0
184,172.0,10.0,10.0,137.0,24.0,56.0,173.0,32.0,6.0
185,172.0,14.0,9.0,137.0,34.0,47.0,173.0,32.0,6.0
186,190.0,14.0,9.0,137.0,34.0,47.0,173.0,32.0,6.0
187,190.0,14.0,7.0,137.0,34.0,47.0,173.0,32.0,6.0
188,190.0,14.0,7.0,137.0,34.0,47.0,173.0,32.0,6.0
189,190.0,14.0,11.0,148.0,34.0,47.0,148.0,28.0,6.0
190,190.0,14.0,11.0,148.0,34.0,47.0,148.0,28.0,6.0
191,191.0,14.0,15.0,148.0,53.0,52.0,148.0,28.0,3.0
192,191.0,14.0,15.0,148.0,53.0,52.0,148.0,28.0,3.0
193,191.0,14.0,17.0,148.0,53.0,52.0,148.0,28.0,3.0
194,191.0,14.0,17.0,148.0,53.0,52.0,148.0,28.0,3.0
195,191.0,14.0,33.0,141.0,53.0,52.0,189.0,28.0,0.0
196,191.0,14.0,33.0,141.0,53.0,52.0,189.0,28.0,0.0
197,188.0,38.0,47.0,141.0,59.0,59.0,189.0,28.0,0.0
198,188.0,38.0,47.0,141.0,59.0,59.0,189.0,28.0,0.0
199,188.0,38.0,51.0,141.0,59.0,59.0,189.0,28.0,0.0
200,188.0,38.0,51.0,169.0,59.0,59.0,189.0,28.0,0.0
201,188.0,38.0,57.0,169.0,59.0,59.0,205.0,40.0,0.0
202,188.0,38.0,57.0,169.0,69.0,59.0,205.0,40.0,0.0
203,170.0,42.0,67.0,169.0,69.0,58.0,205.0,40.0,0.0
204,170.0,42.0,67.0,203.0,69.0,58.0,205.0,40.0,0.0
205,170.0,42.0,70.0,203.0,69.0,58.0,205.0,40.0,0.0
206,170.0,42.0,70.0,203.0,69.0,58.0,205.0,40.0,0.0
207,170.0,42.0,68.0,203.0,69.0,58.0,180.0,45.0,0.0
208,170.0,42.0,68.0,203.0,100.0,58.0,180.0,45.0,0.0
209,125.0,42.0,77.0,203.0,100.0,66.0,180.0,45.0,0.0
210,125.0,42.0,77.0,157.0,100.0,66.0,180.0,45.0,0.0
211,125.0,42.0,87.0,157.0,100.0,66.0,180.0,45.0,0.0
212,125.0,42.0,87.0,157.0,100.0,66.0,180.0,45.0,0.0
213,125.0,42.0,103.0,157.0,100.0,66.0,167.0,50.0,6.0
214,96.0,0.0,103.0,157.0,174.0,57.0,167.0,50.0,6.0
215,96.0,0.0,130.0,140.0,174.0,57.0,167.0,50.0,6.0
216,96.0,0.0,130.0,140.0,174.0,57.0,167.0,50.0,6.0
217,96.0,0.0,132.0,140.0,174.0,57.0,167.0,50.0,6.0
218,96.0,0.0,132.0,140.0,174.0,57.0,167.0,50.0,6.0
219,96.0,0.0,69.0,140.0,174.0,57.0,164.0,62.0,6.0
220,85.0,22.0,69.0,140.0,154.0,56.0,164.0,62.0,6.0
221,85.0,22.0,37.0,107.0,154.0,56.0,164.0,62.0,6.0
222,85.0,22.0,37.0,107.0,154.0,56.0,164.0,62.0,6.0
223,85.0,22.0,13.0,107.0,154.0,56.0,164.0,62.0,6.0
224,85.0,22.0,13.0,107.0,154.0,56.0,164.0,62.0,6.0
225,85.0,22.0,7.0,107.0,154.0,62.0,178.0,68.0,6.0
226,52.0,23.0,7.0,107.0,133.0,62.0,178.0,68.0,6.0
227,52.0,23.0,3.0,122.0,133.0,62.0,178.0,68.0,6.0
228,52.0,23.0,3.0,122.0,133.0,62.0,178.0,68.0,6.0
229,52.0,23.0,7.0,122.0,133.0,62.0,178.0,68.0,6.0
230,52.0,23.0,7.0,122.0,133.0,62.0,178.0,56.0,6.0
231,52.0,23.0,6.0,122.0,133.0,47.0,185.0,56.0,0.0
232,46.0,18.0,6.0,122.0,143.0,47.0,185.0,56.0,0.0
233,46.0,18.0,6.0,122.0,143.0,47.0,185.0,56.0,0.0
234,46.0,18.0,6.0,122.0,143.0,47.0,185.0,56.0,0.0
235,46.0,18.0,18.0,122.0,143.0,47.0,185.0,56.0,0.0
236,46.0,18.0,18.0,122.0,143.0,47.0,185.0,73.0,0.0
237,46.0,13.0,15.0,122.0,143.0,37.0,238.0,73.0,0.0
238,80.0,13.0,15.0,117.0,168.0,37.0,238.0,73.0,0.0
239,80.0,13.0,11.0,117.0,168.0,37.0,238.0,73.0,0.0
240,80.0,13.0,11.0,117.0,168.0,37.0,238.0,73.0,0.0
241,80.0,13.0,6.0,117.0,168.0,37.0,238.0,73.0,0.0
242,80.0,13.0,6.0,117.0,168.0,37.0,238.0,86.0,0.0
243,80.0,8.0,7.0,85.0,168.0,70.0,248.0,86.0,0.0
244,65.0,8.0,7.0,85.0,174.0,70.0,248.0,86.0,0.0
245,65.0,8.0,8.0,85.0,174.0,70.0,248.0,86.0,0.0
246,65.0,8.0,8.0,85.0,174.0,70.0,248.0,86.0,0.0
247,65.0,8.0,21.0,85.0,174.0,70.0,248.0,78.0,0.0
248,65.0,8.0,21.0,85.0,174.0,70.0,284.0,78.0,0.0
249,65.0,7.0,55.0,94.0,174.0,88.0,284.0,78.0,0.0
250,52.0,7.0,55.0,94.0,165.0,88.0,284.0,78.0,0.0
251,52.0,7.0,58.0,94.0,165.0,88.0,284.0,78.0,0.0
252,52.0,7.0,58.0,94.0,165.0,88.0,284.0,62.0,0.0
253,52.0,7.0,63.0,94.0,165.0,88.0,302.0,62.0,0.0
254,52.0,7.0,63.0,106.0,165.0,96.0,302.0,62.0,0.0
255,52.0,7.0,79.0,106.0,165.0,96.0,302.0,62.0,0.0
256,41.0,7.0,79.0,106.0,191.0,96.0,302.0,62.0,0.0
257,41.0,7.0,78.0,106.0,191.0,96.0,302.0,62.0,0.0
258,41.0,7.0,78.0,106.0,191.0,96.0,302.0,75.0,0.0
259,41.0,9.0,96.0,106.0,191.0,96.0,262.0,75.0,0.0
260,41.0,9.0,96.0,112.0,191.0,89.0,262.0,75.0,0.0
261,41.0,9.0,140.0,112.0,223.0,89.0,262.0,75.0,0.0
262,0.0,9.0,140.0,112.0,223.0,89.0,262.0,75.0,0.0
263,0.0,9.0,253.0,112.0,223.0,89.0,262.0,75.0,0.0
264,0.0,16.0,253.0,112.0,223.0,89.0,272.0,145.0,1.0
265,0.0,16.0,213.0,112.0,223.0,89.0,272.0,145.0,1.0
266,0.0,16.0,213.0,103.0,238.0,74.0,272.0,145.0,1.0
267,21.0,16.0,219.0,103.0,238.0,74.0,272.0,145.0,1.0
268,21.0,16.0,219.0,103.0,238.0,74.0,272.0,131.0,1.0
269,21.0,16.0,245.0,103.0,238.0,74.0,272.0,131.0,1.0
270,21.0,16.0,245.0,103.0,238.0,74.0,260.0,131.0,1.0
271,21.0,16.0,245.0,103.0,238.0,70.0,260.0,131.0,1.0
272,46.0,16.0,245.0,89.0,266.0,70.0,260.0,131.0,2.0
273,46.0,16.0,251.0,89.0,266.0,70.0,260.0,131.0,2.0
274,46.0,16.0,251.0,89.0,266.0,88.0,260.0,116.0,2.0
275,46.0,16.0,210.0,89.0,266.0,88.0,260.0,116.0,2.0
276,46.0,0.0,210.0,89.0,266.0,88.0,275.0,116.0,2.0
277,51.0,0.0,192.0,57.0,305.0,88.0,275.0,116.0,2.0
278,51.0,0.0,192.0,57.0,305.0,88.0,275.0,116.0,2.0
279,51.0,0.0,144.0,57.0,305.0,88.0,275.0,101.0,2.0
280,51.0,0.0,144.0,105.0,305.0,104.0,275.0,101.0,2.0
281,51.0,0.0,134.0,105.0,305.0,104.0,302.0,101.0,2.0
282,51.0,12.0,134.0,105.0,305.0,104.0,302.0,101.0,2.0
283,63.0,12.0,131.0,105.0,386.0,104.0,302.0,101.0,4.0
284,63.0,12.0,131.0,105.0,386.0,104.0,302.0,90.0,4.0
285,63.0,12.0,62.0,105.0,386.0,104.0,302.0,90.0,4.0
286,63.0,12.0,62.0,141.0,386.0,117.0,302.0,90.0,4.0
287,63.0,12.0,40.0,141.0,386.0,117.0,322.0,90.0,4.0
288,18.0,12.0,40.0,141.0,386.0,117.0,322.0,90.0,5.0
289,18.0,12.0,27.0,141.0,339.0,117.0,322.0,90.0,5.0
290,18.0,12.0,27.0,141.0,339.0,117.0,322.0,64.0,5.0
291,18.0,12.0,17.0,141.0,339.0,117.0,322.0,64.0,5.0
292,18.0,0.0,17.0,98.0,339.0,117.0,331.0,64.0,4.0
293,18.0,0.0,19.0,98.0,339.0,117.0,331.0,64.0,4.0
294,49.0,0.0,19.0,98.0,334.0,117.0,331.0,64.0,4.0
295,49.0,0.0,23.0,98.0,334.0,117.0,331.0,64.0,4.0
296,49.0,0.0,23.0,98.0,334.0,132.0,331.0,51.0,4.0
297,49.0,0.0,23.0,63.0,334.0,132.0,331.0,51.0,4.0
298,49.0,0.0,23.0,63.0,334.0,132.0,302.0,51.0,4.0
299,49.0,0.0,30.0,63.0,334.0,132.0,302.0,51.0,4.0
300,49.0,0.0,30.0,61.0,359.0,132.0,302.0,74.0,4.0
301,49.0,0.0,30.0,61.0,359.0,132.0,302.0,74.0,4.0
302,49.0,0.0,30.0,61.0,359.0,132.0,302.0,74.0,4.0
303,49.0,0.0,30.0,61.0,359.0,132.0,302.0,74.0,4.0
304,49.0,0.0,30.0,61.0,312.0,132.0,207.0,74.0,4.0
305,49.0,0.0,46.0,61.0,312.0,87.0,207.0,123.0,4.0
306,49.0,0.0,46.0,70.0,312.0,87.0,207.0,123.0,4.0
307,49.0,0.0,46.0,70.0,312.0,87.0,207.0,123.0,4.0
308,49.0,0.0,46.0,70.0,312.0,87.0,207.0,123.0,4.0
309,49.0,0.0,46.0,70.0,312.0,87.0,160.0,123.0,4.0
310,49.0,0.0,46.0,70.0,213.0,87.0,160.0,78.0,4.0
311,0.0,0.0,54.0,62.0,213.0,66.0,160.0,78.0,4.0
312,0.0,0.0,54.0,62.0,213.0,66.0,160.0,78.0,4.0
313,0.0,0.0,54.0,62.0,213.0,66.0,160.0,78.0,4.0
314,0.0,0.0,54.0,62.0,213.0,66.0,91.0,78.0,4.0
315,0.0,0.0,54.0,66.0,213.0,66.0,91.0,78.0,5.0
316,0.0,0.0,54.0,66.0,169.0,154.0,91.0,48.0,5.0
317,0.0,0.0,47.0,66.0,169.0,154.0,91.0,48.0,5.0
318,0.0,0.0,47.0,66.0,169.0,154.0,91.0,48.0,5.0
319,0.0,0.0,47.0,66.0,169.0,154.0,91.0,48.0,5.0
320,0.0,17.0,47.0,66.0,169.0,47.0,31.0,48.0,5.0
321,0.0,17.0,47.0,136.0,70.0,47.0,31.0,1.0,5.0
322,0.0,17.0,47.0,136.0,70.0,47.0,31.0,1.0,5.0
323,0.0,17.0,32.0,136.0,70.0,47.0,31.0,1.0,5.0
324,0.0,17.0,32.0,136.0,70.0,47.0,31.0,1.0,5.0
325,0.0,17.0,32.0,136.0,70.0,14.0,31.0,1.0,5.0
326,0.0,17.0,32.0,98.0,73.0,14.0,28.0,1.0,4.0
327,0.0,17.0,32.0,98.0,73.0,14.0,28.0,11.0,4.0
328,0.0,17.0,32.0,98.0,73.0,14.0,28.0,11.0,4.0
329,0.0,17.0,24.0,98.0,73.0,13.0,28.0,11.0,4.0
330,0.0,17.0,24.0,98.0,73.0,13.0,28.0,11.0,4.0
331,0.0,0.0,24.0,83.0,79.0,13.0,28.0,11.0,2.0
332,0.0,0.0,24.0,83.0,79.0,13.0,33.0,11.0,2.0
333,6.0,0.0,24.0,83.0,79.0,13.0,33.0,19.0,2.0
334,6.0,0.0,24.0,83.0,79.0,13.0,33.0,19.0,2.0
335,6.0,5.0,5.0,83.0,79.0,9.0,33.0,19.0,2.0
336,6.0,5.0,5.0,83.0,79.0,9.0,33.0,19.0,2.0
337,11.0,5.0,5.0,111.0,94.0,9.0,33.0,19.0,2.0
338,11.0,5.0,5.0,111.0,94.0,9.0,40.0,24.0,2.0
339,11.0,5.0,5.0,111.0,94.0,0.0,40.0,24.0,2.0
340,11.0,5.0,5.0,111.0,94.0,0.0,40.0,24.0,2.0
341,11.0,12.0,4.0,111.0,94.0,0.0,40.0,24.0,2.0
342,16.0,12.0,4.0,186.0,107.0,0.0,40.0,24.0,3.0
343,16.0,12.0,4.0,186.0,107.0,0.0,40.0,24.0,3.0
344,16.0,12.0,4.0,186.0,107.0,0.0,50.0,22.0,3.0
345,16.0,12.0,4.0,186.0,107.0,3.0,50.0,22.0,3.0
346,16.0,12.0,4.0,186.0,107.0,3.0,50.0,22.0,3.0
347,16.0,12.0,5.0,209.0,119.0,3.0,50.0,22.0,3.0
348,18.0,12.0,5.0,209.0,119.0,3.0,50.0,9.0,2.0
349,18.0,12.0,5.0,209.0,119.0,3.0,50.0,9.0,2.0
350,18.0,0.0,5.0,209.0,119.0,3.0,51.0,9.0,2.0
351,18.0,0.0,5.0,41.0,119.0,3.0,51.0,9.0,2.0
352,18.0,0.0,5.0,41.0,121.0,3.0,51.0,9.0,2.0
353,18.0,0.0,6.0,41.0,121.0,3.0,51.0,9.0,2.0
354,17.0,0.0,6.0,92.0,121.0,3.0,51.0,7.0,3.0
355,17.0,0.0,6.0,92.0,121.0,3.0,51.0,7.0,3.0
356,17.0,0.0,6.0,92.0,121.0,9.0,54.0,7.0,3.0
