,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-centrl,electricity-load-nyiso-genese,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil
117,1014.6622,461.4991,636.4323,24781.821500000002,2213.231,1916.1375,7923.642,2362.6975,1730.6523,1127.0059,1487.0527,3908.809
118,1006.8503,456.8132,631.8021,24634.8685,2207.3342,1909.9138,7846.9863,2381.8818,1717.5687,1113.5594,1486.8994,3875.2593
119,1001.5604,454.4421,654.9634,24540.6288,2213.1763,1909.4438,7797.373,2353.2952,1702.9095,1096.8961,1515.1278,3841.4412
120,990.5812,463.8767,635.7081,24391.837900000002,2173.8926,1911.7229,7778.384,2363.625,1699.1345,1092.6321,1466.1394,3816.1414
121,992.109,452.8133,639.4282,24332.869999999995,2188.7188,1900.6019,7730.7334,2356.3887,1689.9033,1094.881,1497.3705,3789.9219
122,997.966,444.0829,634.4969,24255.2254,2203.7058,1895.1216,7696.526,2289.2314,1689.6436,1105.9431,1512.7571,3785.751
123,989.0602,447.1285,641.0077,24213.243899999998,2194.407,1895.9651,7707.4893,2330.408,1681.9058,1088.1018,1470.8677,3766.9028
124,987.0132,461.6901,634.3707,24121.1851,2175.3494,1899.3032,7664.342,2315.0483,1680.5334,1092.949,1466.6571,3743.9287
125,975.9864,438.3949,622.048,24002.321499999995,2160.0493,1895.3645,7649.2026,2313.4873,1681.9873,1102.1667,1450.6897,3712.9448
126,974.0882,435.2676,632.2186,24017.4734,2170.066,1899.4009,7654.235,2319.9202,1671.8604,1094.113,1473.6172,3692.6863
127,968.9979,442.7008,630.0667,23920.6878,2156.8452,1885.5853,7619.848,2311.9692,1673.3969,1086.9404,1475.6509,3668.6865
128,968.2922,429.6943,633.7355,23854.311799999996,2160.5818,1879.6578,7603.907,2304.8652,1661.9877,1090.9335,1480.346,3640.3108
129,960.9614,439.43,625.0178,23799.019500000002,2162.6123,1885.7045,7586.183,2319.0298,1652.2239,1093.5032,1446.8641,3627.4895
130,961.7321,434.3638,631.2645,23775.4455,2155.4805,1877.7343,7576.041,2321.0962,1660.0991,1084.6023,1472.33,3600.7017
131,945.8013,432.9812,630.0302,23653.534400000004,2142.7842,1873.1654,7531.6787,2317.9897,1662.5193,1073.8889,1454.8137,3587.8818
132,947.1882,427.9262,628.7391,23509.8071,2142.685,1876.7228,7493.4688,2254.4978,1660.9644,1068.8129,1441.1727,3567.6292
133,959.6602,425.9741,642.3827,23527.426899999995,2158.5928,1871.8235,7494.85,2288.5745,1642.9851,1059.0557,1438.3672,3545.1611
134,938.2364,434.2664,634.8198,23439.8355,2178.2625,1860.4484,7461.4287,2271.1594,1637.8182,1063.511,1446.5027,3513.382
135,948.7063,448.2747,625.8627,23294.766900000002,2141.0256,1870.6676,7391.3,2276.013,1634.0311,1056.449,1411.4164,3491.0205
136,927.5762,436.0364,625.6794,23195.586200000005,2138.5234,1849.7656,7386.842,2256.8992,1625.1045,1049.6224,1415.0541,3484.483
137,929.8051,436.8114,624.5783,23139.5613,2136.1382,1837.2191,7370.448,2248.4897,1613.405,1047.8047,1431.0742,3463.7876
138,926.8413,433.4367,635.8901,23066.3008,2164.0347,1825.9795,7350.4297,2236.503,1608.8468,1042.7653,1398.0134,3443.5603
139,908.9178,430.0443,622.7935,22942.4248,2173.1814,1826.1439,7326.996,2240.6157,1599.451,1029.2297,1387.4675,3397.584
140,930.4467,422.1317,617.3171,22823.6406,2170.94,1816.0859,7278.8906,2231.82,1589.1692,1034.4495,1357.5339,3374.856
141,918.0455,430.1809,622.2804,22694.881999999998,2172.8164,1798.5211,7239.524,2179.2466,1583.1012,1024.359,1386.1951,3340.6118
142,918.5679,416.0794,630.8079,22604.7826,2160.6162,1793.7518,7277.8677,2147.7834,1577.5521,1030.0273,1328.9335,3322.7954
143,904.3259,416.1331,632.7244,22463.0189,2134.388,1784.1721,7216.9316,2177.4277,1553.1243,1020.2783,1345.6646,3277.8489
144,900.9664,421.5276,622.2522,22344.4761,2130.7632,1777.7524,7165.492,2145.6304,1547.7815,1019.3989,1351.4735,3261.438
145,894.5226,409.5336,625.8242,22302.0308,2124.2559,1767.1238,7181.2593,2166.7217,1534.1266,1010.6241,1345.9501,3242.0889
146,905.3908,409.9868,632.6776,22194.16,2135.0657,1749.4019,7133.6006,2104.892,1519.684,1007.488,1376.0536,3219.919
147,885.17,406.1151,620.8141,22033.8749,2116.914,1748.6785,7108.963,2113.5942,1509.3906,1008.9049,1312.8915,3202.439
148,883.6071,410.3455,655.9564,21891.7955,2095.914,1732.3759,7069.883,2101.083,1497.9307,976.4367,1294.6742,3173.589
149,870.2432,400.5436,617.2465,21756.529400000003,2068.354,1727.3883,7009.372,2111.524,1486.275,990.8842,1325.1298,3149.5688
150,875.6397,400.8655,611.0396,21618.3612,2066.176,1701.9944,6981.21,2082.145,1480.362,983.4165,1319.4642,3116.0483
151,861.7416,395.5884,613.5315,21456.5734,2060.9114,1691.5619,6977.0386,2016.2609,1470.1938,983.3982,1289.5311,3096.816
152,875.7255,385.9944,613.2155,21353.0515,2051.4985,1683.1624,6919.4614,2042.9369,1457.291,975.3854,1271.4166,3076.9639
153,867.5348,387.376,620.9111,21252.5178,2041.5243,1657.6326,6908.677,2044.4834,1444.7095,965.3942,1274.8633,3039.4116
154,859.9478,384.8068,603.964,21118.3868,2027.1533,1655.4612,6891.3975,2021.5026,1429.0017,964.9296,1253.5153,3026.707
155,848.1108,376.1171,611.2044,20944.206199999997,1991.6057,1650.5931,6830.458,2017.4849,1421.281,939.7244,1277.8385,2979.7883
156,842.6594,375.5841,620.7002,20830.5078,1987.4182,1634.0695,6812.4404,1997.9741,1401.5638,943.4402,1241.235,2973.4229
157,830.8744,384.6056,600.5387,20660.6646,1966.8236,1635.3281,6780.338,1993.9639,1394.7063,934.3195,1200.1023,2939.0642
158,829.1278,373.648,605.3513,20612.9791,1979.8466,1613.3153,6752.1865,1987.4852,1392.4163,931.3232,1229.2047,2919.0742
159,815.4623,376.904,599.4175,20470.637199999997,1946.7963,1612.4402,6714.1987,1982.9958,1382.4214,923.2686,1206.4988,2910.2336
160,820.4322,376.9423,610.988,20317.080100000003,1960.1647,1601.7291,6682.8184,1920.8877,1362.8303,918.6073,1177.9279,2883.7522
161,815.5382,363.9596,599.8791,20224.855099999997,1940.367,1589.7166,6667.8965,1908.0778,1357.1975,914.7622,1205.821,2861.6396
162,808.3889,358.8836,598.0165,20098.804900000003,1926.0992,1576.49,6631.723,1929.8733,1351.9568,909.485,1185.9011,2821.9875
163,803.3131,352.7705,589.9862,20015.7551,1925.5693,1562.345,6633.462,1925.422,1337.7559,898.9067,1178.9812,2807.2432
164,786.2605,349.1622,592.971,19753.313700000002,1901.5898,1540.9893,6532.6387,1909.9089,1319.011,879.6173,1165.0327,2776.1323
165,783.1062,351.718,585.0762,19695.286900000003,1928.8319,1562.6752,6496.4756,1883.6309,1309.0146,885.0205,1143.3188,2766.419
166,779.8837,346.3842,587.1376,19587.036200000006,1896.3397,1560.9235,6465.8945,1884.0425,1299.0046,881.687,1148.7953,2736.9436
167,780.8332,337.8744,570.1829,19492.085800000004,1869.1804,1563.3861,6453.183,1886.145,1294.0116,863.1421,1165.7203,2708.4268
168,781.6251,340.9865,575.8274,19325.526,1878.4418,1507.8448,6422.3525,1871.458,1285.6033,873.1918,1104.0293,2684.1655
169,776.6936,338.8688,587.4473,19205.0319,1872.0259,1490.961,6391.4673,1852.0576,1285.5723,867.5256,1067.0817,2675.3308
170,768.4204,344.3667,591.9279,19100.914099999998,1860.7601,1485.2988,6367.6123,1788.576,1275.9014,861.7983,1099.5912,2656.661
171,758.1624,335.3101,584.4054,19061.0579,1853.3585,1467.3763,6357.284,1823.4191,1262.3687,860.4656,1101.3861,2657.5217
172,758.8615,342.7067,581.6622,18921.762199999997,1816.2439,1469.6294,6318.885,1818.4393,1255.3151,853.3553,1081.5138,2625.15
173,742.1256,324.794,569.474,18841.6188,1814.668,1467.1746,6293.8774,1813.4398,1243.3188,857.245,1108.0536,2607.448
174,750.2349,330.008,574.5768,18791.685699999998,1837.5242,1461.4636,6260.5015,1818.4827,1241.9822,847.5767,1072.4196,2596.9155
175,736.493,326.9403,580.1616,18696.9493,1837.4038,1448.719,6240.329,1803.7977,1234.5471,842.882,1060.492,2585.1838
176,734.2579,325.1899,575.0715,18638.9438,1813.3079,1448.6079,6242.041,1794.761,1224.7289,841.8529,1079.7672,2559.3577
177,744.8466,327.8861,573.0056,18537.523400000002,1803.9929,1449.3191,6170.068,1795.6005,1224.6128,831.1635,1074.1809,2542.8474
178,756.5723,311.9725,578.8881,18503.8606,1806.5344,1434.3175,6183.0127,1793.8715,1217.6757,833.4584,1050.9459,2536.6116
179,735.7733,317.1621,569.778,18367.2631,1766.5044,1435.7983,6155.864,1745.91,1200.8906,836.6503,1070.0063,2532.9258
180,735.6591,316.4302,580.1027,18311.5227,1786.842,1425.3911,6121.623,1722.2275,1201.9805,838.4474,1068.2928,2514.5264
181,738.3536,314.0984,566.9747,18197.800499999998,1778.4629,1421.2952,6103.694,1716.967,1191.9298,833.8181,1043.053,2489.1538
182,726.1052,319.7656,574.2289,18166.9666,1760.0962,1409.2773,6107.657,1750.1212,1186.4839,818.4659,1026.6487,2488.1167
183,730.4961,308.4108,577.2759,18055.7661,1738.6764,1404.6656,6066.797,1744.4636,1179.9233,809.5137,1024.7703,2470.7734
184,712.2639,320.2105,572.3304,18010.829400000002,1753.2156,1412.1736,6050.628,1729.7942,1180.3951,811.5198,1003.4795,2464.8188
185,727.3365,307.6847,559.9487,17963.1742,1734.5247,1410.8151,6027.0645,1750.9326,1173.1058,817.244,1008.4946,2446.023
186,734.6055,307.4751,569.0424,17912.0965,1736.1215,1402.0724,6014.796,1737.904,1161.617,806.8931,1007.8427,2433.7268
187,734.6055,307.4751,569.0424,17912.0965,1736.1215,1402.0724,6014.796,1737.904,1161.617,806.8931,1007.8427,2433.7268
188,702.6692,315.7046,567.2467,17837.2352,1727.4706,1390.169,5981.71,1741.5934,1161.4756,807.0024,1019.7164,2422.4773
189,708.409,294.7594,562.1362,17776.437700000002,1731.6663,1379.3975,5960.575,1737.8923,1154.2344,807.4028,1025.3828,2414.582
190,708.409,294.7594,562.1362,17776.437700000002,1731.6663,1379.3975,5960.575,1737.8923,1154.2344,807.4028,1025.3828,2414.582
191,709.4729,306.5289,579.949,17654.357799999998,1727.786,1383.8187,5938.9473,1677.834,1145.4646,799.2042,1003.0458,2382.3064
