,btc_usd,btc_aud,btc_eur
423,8.007318323769141,8.265602834611855,8.051143849308573
424,2.6826114346022223,2.3021782186679047,2.6020957751807146
425,8.581613682008538,8.83051264068672,8.691774976581655
426,-15.458503267069318,-14.942910473995653,-15.222451759063915
427,-7.914639234688366,-7.847471607174157,-7.929366023858165
428,-2.42680150756496,-2.5516386850486015,-2.640045619562443
429,0.48583167944525485,0.21705918287261738,0.3079370806244697
430,-6.73817017368674,-6.750840175225676,-6.744954003032035
431,3.883170402106771,4.042578326283547,3.9701006000286725
432,-3.946954726066906,-3.8745110989966633,-3.840953359080231
433,-3.19441462515897,-3.5522221882583835,-3.3373464170690568
434,-4.553673783559134,-4.479271875748964,-4.571317796640869
435,11.97032397591829,11.65486876950854,11.826800896085842
436,2.706418820807812,2.8258289364657685,2.748983708617743
437,7.2164502485229605,7.0547029798908625,7.183516542905636
438,-0.1048229018033453,-0.19897857729665702,-0.22927891880681273
439,-0.5033029360729415,-0.1160891234085284,-0.33127349477945245
440,1.006352685724778,1.01118109584786,0.9680296259684837
441,-10.723455017510787,-10.91159197437446,-10.880385871401813
442,-5.479698523507977,-5.559722394445998,-5.601387885395525
443,-1.001480996968894,-1.1797422789040866,-1.0877730217143835
444,4.912551747849648,5.012710457594949,5.014614897321735
445,-1.6985863356112532,-1.5616738268709014,-1.7806686081603402
446,-4.557951278693508,-4.750362682763807,-4.63425251076842
447,-1.837568090411878,-2.1298182493119384,-1.8701304151763907
448,1.5173050449611765,1.3696894975837495,1.4808082201907382
449,-10.151935662295728,-10.156509800324784,-10.14972250160281
