,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel
213,256.0,4399.0,355.0,2816.0,1633.0,3091.0
214,258.0,4401.0,359.0,2828.0,1640.0,3100.0
215,258.0,4401.0,359.0,2828.0,1640.0,3100.0
216,251.0,4399.0,375.0,2797.0,1624.0,3102.0
217,252.0,4401.0,388.0,2811.0,1615.0,3102.0
218,251.0,4402.0,410.0,2808.0,1629.0,3111.0
219,251.0,4402.0,410.0,2808.0,1629.0,3111.0
220,250.0,4401.0,415.0,2784.0,1621.0,3143.0
221,255.0,4399.0,425.0,2774.0,1602.0,3185.0
222,250.0,4401.0,433.0,2783.0,1618.0,3191.0
223,250.0,4401.0,433.0,2783.0,1618.0,3191.0
224,253.0,4398.0,455.0,2773.0,1671.0,3213.0
225,250.0,4398.0,469.0,2783.0,1676.0,3230.0
226,250.0,4397.0,478.0,2771.0,1710.0,3229.0
227,252.0,4402.0,487.0,2776.0,1711.0,3245.0
228,252.0,4402.0,487.0,2776.0,1711.0,3245.0
229,253.0,4397.0,507.0,2832.0,1712.0,3260.0
230,253.0,4397.0,507.0,2832.0,1712.0,3260.0
231,249.0,4403.0,506.0,2842.0,1758.0,3328.0
232,250.0,4401.0,497.0,2862.0,1821.0,3377.0
233,246.0,4401.0,499.0,2829.0,1820.0,3495.0
234,247.0,4402.0,499.0,2860.0,1835.0,3510.0
235,249.0,4401.0,489.0,2903.0,1837.0,3511.0
236,249.0,4401.0,489.0,2903.0,1837.0,3511.0
237,250.0,4401.0,471.0,2920.0,1872.0,3518.0
238,250.0,4400.0,470.0,2939.0,1875.0,3561.0
239,250.0,4399.0,469.0,2931.0,1919.0,3639.0
240,250.0,4399.0,469.0,2931.0,1919.0,3639.0
241,245.0,4401.0,462.0,2918.0,2048.0,3778.0
242,245.0,4401.0,462.0,2918.0,2048.0,3778.0
243,241.0,4399.0,456.0,3067.0,2100.0,3896.0
244,242.0,4402.0,453.0,3140.0,2136.0,3984.0
245,239.0,4400.0,462.0,3160.0,2180.0,4032.0
246,239.0,4400.0,462.0,3160.0,2180.0,4032.0
247,239.0,4400.0,462.0,3160.0,2180.0,4032.0
248,240.0,4400.0,495.0,3189.0,2260.0,4117.0
249,240.0,4400.0,495.0,3189.0,2260.0,4117.0
250,243.0,4401.0,512.0,3187.0,2364.0,4151.0
251,244.0,4401.0,519.0,3151.0,2471.0,4192.0
252,244.0,4402.0,511.0,3166.0,2524.0,4155.0
253,244.0,4401.0,509.0,3223.0,2608.0,4100.0
254,244.0,4401.0,519.0,3268.0,2701.0,4075.0
255,243.0,4401.0,528.0,3330.0,2794.0,4032.0
256,249.0,4401.0,539.0,3421.0,2824.0,4045.0
257,252.0,4401.0,546.0,3460.0,2848.0,4108.0
258,252.0,4401.0,546.0,3460.0,2848.0,4108.0
259,247.0,4403.0,555.0,3519.0,2921.0,4169.0
260,247.0,4403.0,555.0,3519.0,2921.0,4169.0
261,248.0,4401.0,561.0,3591.0,3017.0,4129.0
262,245.0,4400.0,571.0,3606.0,3054.0,4141.0
263,250.0,4400.0,579.0,3613.0,3083.0,4180.0
264,254.0,4399.0,588.0,3632.0,3101.0,4199.0
265,253.0,4399.0,595.0,3629.0,3156.0,4216.0
266,251.0,4401.0,600.0,3594.0,3212.0,4225.0
267,254.0,4399.0,612.0,3507.0,3216.0,4168.0
268,254.0,4399.0,612.0,3507.0,3216.0,4168.0
269,256.0,4401.0,633.0,3476.0,3162.0,4159.0
270,253.0,4400.0,644.0,3488.0,3207.0,4141.0
271,252.0,4399.0,657.0,3523.0,3225.0,4122.0
272,252.0,4399.0,657.0,3523.0,3225.0,4122.0
273,251.0,4400.0,659.0,3572.0,3226.0,4106.0
274,245.0,4400.0,660.0,3632.0,3269.0,4052.0
275,245.0,4400.0,660.0,3632.0,3269.0,4052.0
276,248.0,4399.0,698.0,3637.0,3316.0,4045.0
277,248.0,4399.0,698.0,3637.0,3316.0,4045.0
278,250.0,4399.0,708.0,3614.0,3357.0,4059.0
279,253.0,4399.0,720.0,3591.0,3391.0,4077.0
280,253.0,4399.0,720.0,3591.0,3391.0,4077.0
281,250.0,4399.0,737.0,3604.0,3404.0,4017.0
282,250.0,4398.0,730.0,3606.0,3421.0,4009.0
283,255.0,4400.0,726.0,3613.0,3430.0,4018.0
284,255.0,4400.0,726.0,3613.0,3430.0,4018.0
285,258.0,4397.0,731.0,3611.0,3384.0,4052.0
286,255.0,4398.0,749.0,3581.0,3405.0,4017.0
287,253.0,4400.0,766.0,3601.0,3409.0,4011.0
288,253.0,4400.0,766.0,3601.0,3409.0,4011.0
289,247.0,4398.0,798.0,3605.0,3441.0,4068.0
290,254.0,4399.0,805.0,3589.0,3423.0,4043.0
291,256.0,4398.0,813.0,3652.0,3464.0,3986.0
292,254.0,4398.0,818.0,3658.0,3513.0,3950.0
293,256.0,4398.0,822.0,3681.0,3528.0,3855.0
294,255.0,4399.0,820.0,3687.0,3547.0,3817.0
295,255.0,4399.0,820.0,3687.0,3547.0,3817.0
