,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
445,61.0,22.0
446,41.0,19.0
447,39.0,17.0
448,48.0,26.0
449,58.0,24.0
450,44.0,23.0
451,50.0,21.0
452,49.0,15.0
453,48.0,20.0
454,49.0,19.0
455,47.0,26.0
456,48.0,31.0
457,58.0,25.0
458,54.0,20.0
459,39.0,28.0
460,41.0,20.0
461,57.0,23.0
462,50.0,19.0
463,49.0,26.0
464,52.0,25.0
465,53.0,27.0
466,47.0,16.0
467,57.0,19.0
468,53.0,22.0
469,56.0,25.0
470,47.0,25.0
471,56.0,18.0
472,58.0,25.0
473,63.0,15.0
474,43.0,16.0
475,50.0,20.0
476,59.0,21.0
477,62.0,29.0
478,52.0,13.0
479,53.0,27.0
480,67.0,22.0
481,55.0,19.0
482,55.0,32.0
483,65.0,20.0
484,68.0,25.0
485,42.0,17.0
486,58.0,22.0
487,48.0,28.0
488,58.0,25.0
489,59.0,26.0
490,46.0,32.0
491,60.0,23.0
492,90.0,36.0
493,57.0,14.0
494,52.0,24.0
495,62.0,24.0
496,80.0,37.0
497,48.0,33.0
498,52.0,27.0
499,58.0,15.0
500,41.0,31.0
501,63.0,27.0
502,58.0,21.0
503,63.0,27.0
504,54.0,28.0
505,60.0,35.0
506,57.0,28.0
507,73.0,27.0
508,68.0,21.0
509,43.0,20.0
510,56.0,36.0
511,49.0,31.0
512,79.0,17.0
513,61.0,28.0
514,69.0,31.0
515,52.0,25.0
516,65.0,20.0
517,57.0,27.0
518,58.0,26.0
519,62.0,27.0
520,63.0,27.0
521,57.0,31.0
522,67.0,32.0
523,45.0,18.0
524,62.0,35.0
525,67.0,23.0
526,39.0,35.0
527,48.0,28.0
528,55.0,18.0
529,60.0,38.0
530,61.0,26.0
531,53.0,27.0
532,65.0,27.0
533,57.0,26.0
534,64.0,20.0
535,59.0,33.0
536,51.0,28.0
537,71.0,19.0
538,65.0,20.0
539,53.0,35.0
540,72.0,25.0
541,61.0,31.0
542,82.0,18.0
543,67.0,29.0
544,57.0,27.0
545,56.0,26.0
546,48.0,28.0
547,48.0,26.0
548,45.0,23.0
549,55.0,22.0
550,51.0,29.0
551,53.0,24.0
552,51.0,29.0
553,67.0,22.0
554,58.0,32.0
555,49.0,26.0
556,70.0,31.0
557,52.0,27.0
558,49.0,24.0
559,40.0,31.0
