,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
652,279.0,35.0,0.0
653,162.0,20.0,0.0
654,162.0,20.0,0.0
655,366.0,11.0,0.0
656,366.0,11.0,0.0
657,381.0,7.0,0.0
658,381.0,7.0,0.0
659,170.0,16.0,0.0
660,170.0,16.0,0.0
661,162.0,16.0,0.0
662,162.0,16.0,0.0
663,307.0,10.0,5.0
664,307.0,10.0,5.0
665,195.0,14.0,5.0
666,195.0,14.0,5.0
667,152.0,13.0,1.0
668,152.0,13.0,1.0
669,184.0,15.0,1.0
670,184.0,15.0,1.0
671,106.0,23.0,0.0
672,106.0,23.0,0.0
673,125.0,10.0,4.0
674,125.0,10.0,4.0
675,128.0,17.0,4.0
676,128.0,17.0,4.0
677,130.0,30.0,3.0
678,130.0,30.0,3.0
679,157.0,39.0,1.0
680,157.0,39.0,1.0
681,128.0,54.0,4.0
682,128.0,54.0,4.0
683,161.0,62.0,4.0
684,161.0,62.0,4.0
685,237.0,60.0,0.0
686,237.0,60.0,0.0
687,256.0,65.0,0.0
688,256.0,65.0,0.0
689,323.0,89.0,0.0
690,323.0,89.0,0.0
691,311.0,90.0,8.0
692,311.0,90.0,8.0
693,291.0,77.0,5.0
694,291.0,77.0,5.0
695,271.0,72.0,19.0
696,271.0,72.0,19.0
697,310.0,64.0,17.0
698,310.0,64.0,17.0
699,322.0,50.0,6.0
700,322.0,50.0,6.0
701,283.0,58.0,6.0
702,283.0,58.0,6.0
703,304.0,75.0,6.0
704,304.0,75.0,6.0
705,325.0,84.0,8.0
706,325.0,84.0,8.0
707,370.0,112.0,13.0
708,370.0,112.0,13.0
709,316.0,118.0,12.0
710,316.0,118.0,12.0
711,260.0,120.0,5.0
712,260.0,120.0,5.0
713,300.0,116.0,9.0
714,300.0,116.0,9.0
715,282.0,128.0,15.0
716,282.0,128.0,15.0
717,310.0,130.0,23.0
718,310.0,130.0,23.0
719,322.0,111.0,19.0
720,322.0,111.0,19.0
721,298.0,60.0,7.0
722,298.0,60.0,7.0
723,351.0,36.0,14.0
724,351.0,36.0,14.0
725,333.0,46.0,13.0
726,333.0,46.0,13.0
727,325.0,55.0,11.0
728,325.0,55.0,11.0
729,374.0,88.0,11.0
730,374.0,88.0,11.0
731,515.0,62.0,21.0
732,515.0,62.0,21.0
733,401.0,35.0,16.0
734,401.0,35.0,16.0
735,350.0,35.0,11.0
736,350.0,35.0,11.0
737,337.0,0.0,6.0
738,337.0,0.0,6.0
739,276.0,0.0,0.0
740,276.0,0.0,0.0
741,315.0,9.0,0.0
742,315.0,9.0,0.0
743,183.0,9.0,0.0
744,183.0,9.0,0.0
745,183.0,14.0,10.0
746,183.0,14.0,10.0
747,41.0,20.0,10.0
748,41.0,20.0,10.0
749,57.0,20.0,9.0
750,57.0,20.0,9.0
751,112.0,9.0,0.0
752,112.0,9.0,0.0
753,71.0,21.0,16.0
754,71.0,21.0,16.0
755,65.0,32.0,16.0
756,65.0,32.0,16.0
757,65.0,0.0,13.0
758,65.0,0.0,13.0
759,50.0,7.0,14.0
760,50.0,7.0,14.0
761,43.0,14.0,15.0
762,43.0,14.0,15.0
763,25.0,12.0,4.0
764,25.0,12.0,4.0
765,22.0,11.0,7.0
766,22.0,11.0,7.0
767,21.0,17.0,9.0
768,21.0,17.0,9.0
769,27.0,16.0,11.0
770,27.0,16.0,11.0
771,35.0,5.0,2.0
772,35.0,5.0,2.0
773,40.0,3.0,7.0
774,40.0,3.0,7.0
775,46.0,6.0,12.0
776,46.0,6.0,12.0
777,61.0,12.0,12.0
778,61.0,12.0,12.0
779,81.0,25.0,18.0
780,81.0,25.0,18.0
781,78.0,35.0,18.0
782,78.0,35.0,18.0
783,67.0,28.0,19.0
784,67.0,28.0,19.0
