,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-nuclear
190,247.0,3054.0,370.0,2.0,2214.0,4239.0,3263.0
191,243.0,3054.0,363.0,2.0,2242.0,4203.0,3264.0
192,243.0,3054.0,363.0,2.0,2242.0,4203.0,3264.0
193,243.0,3095.0,308.0,2.0,2173.0,4119.0,3266.0
194,243.0,3095.0,299.0,2.0,2162.0,4041.0,3268.0
195,251.0,3082.0,277.0,2.0,2170.0,4002.0,3267.0
196,247.0,3059.0,263.0,2.0,2170.0,3964.0,3267.0
197,245.0,3059.0,266.0,2.0,2198.0,3957.0,3268.0
198,246.0,3077.0,257.0,2.0,2195.0,3960.0,3271.0
199,243.0,3076.0,249.0,3.0,2166.0,3958.0,3271.0
200,246.0,3078.0,253.0,2.0,2157.0,3961.0,3270.0
201,248.0,3046.0,246.0,2.0,2130.0,3957.0,3269.0
202,248.0,3019.0,241.0,2.0,2138.0,3947.0,3270.0
203,243.0,3030.0,237.0,2.0,2179.0,3942.0,3271.0
204,247.0,3028.0,236.0,2.0,2182.0,3957.0,3270.0
205,247.0,3028.0,236.0,2.0,2182.0,3957.0,3270.0
206,251.0,3028.0,218.0,2.0,2133.0,3956.0,3270.0
207,251.0,3028.0,218.0,2.0,2133.0,3956.0,3270.0
208,254.0,3024.0,229.0,2.0,2114.0,3928.0,3273.0
209,251.0,3028.0,236.0,2.0,2136.0,3887.0,3270.0
210,252.0,3028.0,223.0,2.0,2179.0,3855.0,3271.0
211,251.0,3029.0,209.0,2.0,2178.0,3848.0,3273.0
212,246.0,3029.0,201.0,2.0,2174.0,3853.0,3271.0
213,243.0,3028.0,217.0,2.0,2126.0,3859.0,3275.0
214,250.0,3012.0,233.0,2.0,2098.0,3886.0,3274.0
215,247.0,2990.0,231.0,2.0,2139.0,3933.0,3273.0
216,244.0,2994.0,234.0,2.0,2152.0,3946.0,3274.0
217,240.0,2995.0,235.0,2.0,2153.0,3927.0,3274.0
218,239.0,2989.0,236.0,2.0,2153.0,3897.0,3272.0
219,242.0,2991.0,222.0,2.0,2196.0,3902.0,3274.0
220,242.0,2991.0,222.0,2.0,2196.0,3902.0,3274.0
221,239.0,2985.0,207.0,2.0,2188.0,3941.0,3269.0
222,239.0,3003.0,214.0,2.0,2205.0,3945.0,3272.0
223,239.0,3014.0,228.0,2.0,2144.0,3945.0,3273.0
224,239.0,3014.0,228.0,2.0,2144.0,3945.0,3273.0
225,236.0,3015.0,285.0,2.0,2126.0,3944.0,3269.0
226,241.0,3000.0,322.0,2.0,2098.0,3934.0,3271.0
227,240.0,3014.0,338.0,2.0,2128.0,3896.0,3271.0
228,242.0,3061.0,346.0,2.0,2129.0,3869.0,3269.0
229,242.0,3091.0,341.0,2.0,2144.0,3875.0,3272.0
230,244.0,3111.0,324.0,2.0,2159.0,3905.0,3272.0
231,240.0,3114.0,309.0,2.0,2171.0,3951.0,3271.0
232,231.0,3126.0,297.0,2.0,2177.0,3982.0,3271.0
233,229.0,3163.0,284.0,2.0,2191.0,4008.0,3270.0
234,230.0,3179.0,261.0,2.0,2206.0,4022.0,3270.0
235,235.0,3161.0,244.0,2.0,2222.0,4067.0,3271.0
236,232.0,3160.0,238.0,2.0,2217.0,4131.0,3271.0
237,231.0,3156.0,247.0,2.0,2200.0,4149.0,3271.0
238,231.0,3114.0,262.0,2.0,2265.0,4144.0,3271.0
239,234.0,3110.0,274.0,2.0,2430.0,4239.0,3271.0
240,236.0,3161.0,262.0,2.0,2544.0,4340.0,3272.0
241,235.0,3165.0,251.0,2.0,2623.0,4350.0,3271.0
242,234.0,3160.0,244.0,2.0,2676.0,4354.0,3273.0
243,236.0,3182.0,243.0,2.0,2698.0,4365.0,3272.0
244,237.0,3218.0,236.0,2.0,2747.0,4365.0,3272.0
245,237.0,3279.0,238.0,2.0,2777.0,4403.0,3271.0
246,234.0,3326.0,244.0,2.0,2817.0,4454.0,3269.0
247,230.0,3357.0,250.0,2.0,2830.0,4511.0,3271.0
248,234.0,3419.0,247.0,2.0,2802.0,4582.0,3270.0
249,233.0,3554.0,237.0,6.0,2774.0,4616.0,3270.0
250,232.0,3524.0,233.0,51.0,2823.0,4665.0,3271.0
251,231.0,3553.0,218.0,55.0,2968.0,4734.0,3271.0
252,236.0,3599.0,212.0,55.0,3030.0,4989.0,3269.0
253,237.0,3622.0,205.0,55.0,3025.0,5128.0,3269.0
254,237.0,3678.0,194.0,55.0,2981.0,5316.0,3271.0
255,240.0,3720.0,183.0,55.0,2979.0,5371.0,3270.0
256,242.0,3774.0,185.0,64.0,3020.0,5408.0,3270.0
257,242.0,3835.0,189.0,63.0,2997.0,5441.0,3270.0
258,239.0,3882.0,183.0,55.0,2997.0,5478.0,3270.0
259,240.0,3910.0,170.0,58.0,3019.0,5541.0,3270.0
260,242.0,3936.0,156.0,64.0,3090.0,5612.0,3270.0
261,245.0,4028.0,144.0,64.0,3082.0,5685.0,3270.0
262,244.0,4087.0,133.0,64.0,3036.0,5741.0,3273.0
263,244.0,4099.0,127.0,64.0,3027.0,5772.0,3271.0
264,249.0,4088.0,129.0,64.0,2944.0,5838.0,3271.0
265,249.0,4088.0,123.0,64.0,2951.0,5911.0,3270.0
266,249.0,4125.0,118.0,64.0,2981.0,5964.0,3272.0
267,250.0,4175.0,113.0,63.0,2984.0,6022.0,3272.0
268,251.0,4203.0,110.0,63.0,3012.0,6086.0,3270.0
269,252.0,4218.0,108.0,63.0,3014.0,6150.0,3270.0
270,250.0,4266.0,104.0,63.0,3013.0,6206.0,3269.0
271,250.0,4327.0,107.0,63.0,3015.0,6254.0,3271.0
272,251.0,4379.0,109.0,63.0,2975.0,6306.0,3270.0
273,254.0,4365.0,111.0,63.0,2939.0,6417.0,3271.0
274,256.0,4311.0,117.0,63.0,2951.0,6558.0,3270.0
275,253.0,4322.0,123.0,64.0,3069.0,6755.0,3272.0
276,251.0,4484.0,122.0,70.0,3039.0,6907.0,3271.0
