,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
288,191.0,99.0,397.0,51.0
289,199.0,91.0,350.0,52.0
290,209.0,88.0,339.0,53.0
291,194.0,63.0,333.0,47.0
292,175.0,88.0,351.0,56.0
293,219.0,91.0,337.0,50.0
294,205.0,72.0,351.0,49.0
295,178.0,80.0,340.0,54.0
296,175.0,88.0,415.0,54.0
297,248.0,90.0,335.0,81.0
298,201.0,74.0,525.0,50.0
299,298.0,98.0,355.0,88.0
300,184.0,72.0,346.0,55.0
301,184.0,81.0,318.0,47.0
302,201.0,79.0,333.0,56.0
303,183.0,88.0,338.0,69.0
304,192.0,77.0,339.0,44.0
305,163.0,84.0,318.0,48.0
306,166.0,68.0,317.0,51.0
307,180.0,83.0,352.0,44.0
308,185.0,90.0,368.0,62.0
309,171.0,84.0,363.0,45.0
310,181.0,96.0,362.0,50.0
311,178.0,69.0,294.0,33.0
312,161.0,82.0,329.0,65.0
313,165.0,74.0,326.0,54.0
314,181.0,84.0,320.0,56.0
315,188.0,73.0,314.0,65.0
316,214.0,96.0,317.0,55.0
317,192.0,88.0,329.0,59.0
318,177.0,101.0,364.0,75.0
319,188.0,74.0,313.0,62.0
320,196.0,93.0,312.0,58.0
321,166.0,87.0,354.0,64.0
322,195.0,56.0,334.0,39.0
323,177.0,72.0,349.0,58.0
324,187.0,73.0,331.0,47.0
325,194.0,91.0,355.0,49.0
326,195.0,79.0,356.0,53.0
327,172.0,79.0,347.0,60.0
328,187.0,64.0,342.0,61.0
329,195.0,72.0,325.0,41.0
330,183.0,84.0,358.0,43.0
331,218.0,72.0,316.0,47.0
332,207.0,86.0,286.0,58.0
333,190.0,61.0,339.0,55.0
334,221.0,76.0,349.0,67.0
335,196.0,62.0,357.0,55.0
336,200.0,76.0,347.0,43.0
337,219.0,82.0,335.0,60.0
338,184.0,71.0,345.0,60.0
339,185.0,76.0,385.0,58.0
340,190.0,79.0,354.0,48.0
341,215.0,78.0,341.0,56.0
342,214.0,66.0,357.0,57.0
343,206.0,84.0,331.0,48.0
344,180.0,60.0,333.0,66.0
345,216.0,62.0,304.0,50.0
346,194.0,61.0,322.0,42.0
347,186.0,70.0,355.0,58.0
348,199.0,66.0,350.0,47.0
349,213.0,83.0,351.0,51.0
350,210.0,65.0,335.0,44.0
351,210.0,73.0,328.0,51.0
352,186.0,67.0,325.0,52.0
353,221.0,88.0,311.0,50.0
354,192.0,80.0,363.0,50.0
355,188.0,65.0,381.0,69.0
356,187.0,63.0,337.0,64.0
357,204.0,67.0,340.0,58.0
358,189.0,60.0,336.0,37.0
359,209.0,72.0,326.0,53.0
360,168.0,70.0,293.0,51.0
361,192.0,70.0,334.0,53.0
362,152.0,77.0,325.0,72.0
363,212.0,72.0,368.0,47.0
364,172.0,75.0,337.0,56.0
365,197.0,68.0,344.0,56.0
366,192.0,55.0,316.0,60.0
367,197.0,72.0,317.0,54.0
368,185.0,55.0,308.0,55.0
369,200.0,59.0,296.0,60.0
370,194.0,67.0,375.0,61.0
371,188.0,61.0,316.0,55.0
372,159.0,55.0,327.0,59.0
373,188.0,61.0,353.0,49.0
374,168.0,56.0,332.0,66.0
375,154.0,67.0,324.0,50.0
376,171.0,62.0,319.0,55.0
377,199.0,80.0,304.0,47.0
378,156.0,73.0,334.0,51.0
379,191.0,70.0,312.0,51.0
380,179.0,71.0,340.0,62.0
381,162.0,60.0,325.0,45.0
382,172.0,72.0,331.0,49.0
383,137.0,66.0,338.0,55.0
384,172.0,53.0,329.0,52.0
385,176.0,80.0,344.0,47.0
