,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
293,36.0,17.0,3.0
294,27.0,17.0,8.0
295,27.0,17.0,8.0
296,37.0,17.0,8.0
297,37.0,0.0,8.0
298,32.0,0.0,4.0
299,32.0,25.0,4.0
300,18.0,25.0,13.0
301,18.0,28.0,13.0
302,18.0,28.0,13.0
303,18.0,17.0,13.0
304,22.0,17.0,9.0
305,22.0,7.0,9.0
306,27.0,7.0,24.0
307,27.0,0.0,24.0
308,36.0,0.0,19.0
309,36.0,1.0,19.0
310,38.0,1.0,14.0
311,38.0,4.0,14.0
312,50.0,4.0,14.0
313,50.0,5.0,14.0
314,73.0,5.0,3.0
315,73.0,8.0,3.0
316,73.0,8.0,3.0
317,73.0,6.0,3.0
318,84.0,6.0,3.0
319,84.0,3.0,3.0
320,84.0,3.0,3.0
321,84.0,3.0,3.0
322,84.0,3.0,8.0
323,84.0,3.0,8.0
324,87.0,3.0,8.0
325,87.0,3.0,8.0
326,87.0,3.0,8.0
327,87.0,3.0,8.0
328,87.0,3.0,10.0
329,87.0,3.0,10.0
330,95.0,3.0,10.0
331,95.0,4.0,10.0
332,95.0,4.0,10.0
333,95.0,4.0,10.0
334,95.0,4.0,14.0
335,95.0,4.0,14.0
336,103.0,4.0,14.0
337,103.0,5.0,14.0
338,103.0,5.0,14.0
339,103.0,5.0,14.0
340,103.0,5.0,17.0
341,103.0,5.0,17.0
342,115.0,5.0,17.0
343,115.0,5.0,17.0
344,115.0,5.0,17.0
345,115.0,5.0,17.0
346,115.0,5.0,17.0
347,112.0,5.0,17.0
348,112.0,5.0,17.0
349,112.0,7.0,17.0
350,112.0,7.0,17.0
351,112.0,7.0,13.0
352,112.0,7.0,13.0
353,123.0,7.0,13.0
354,123.0,7.0,13.0
355,123.0,7.0,13.0
356,123.0,7.0,13.0
357,123.0,7.0,16.0
358,123.0,7.0,16.0
359,124.0,7.0,16.0
360,124.0,6.0,16.0
361,124.0,6.0,16.0
362,124.0,6.0,16.0
363,124.0,6.0,19.0
364,124.0,6.0,19.0
365,104.0,6.0,19.0
366,104.0,5.0,19.0
367,104.0,5.0,19.0
368,104.0,5.0,19.0
369,104.0,5.0,23.0
370,104.0,5.0,23.0
371,107.0,5.0,23.0
372,107.0,8.0,23.0
373,107.0,8.0,23.0
374,107.0,8.0,23.0
375,107.0,8.0,15.0
376,107.0,8.0,15.0
377,120.0,8.0,15.0
378,120.0,13.0,15.0
379,120.0,13.0,15.0
380,120.0,13.0,15.0
381,120.0,13.0,15.0
382,120.0,13.0,15.0
383,118.0,13.0,15.0
384,118.0,20.0,15.0
385,118.0,20.0,15.0
386,118.0,20.0,15.0
387,118.0,20.0,15.0
388,118.0,20.0,15.0
389,107.0,23.0,15.0
390,107.0,23.0,15.0
391,107.0,23.0,15.0
392,107.0,23.0,15.0
393,107.0,23.0,17.0
394,107.0,23.0,17.0
395,116.0,24.0,17.0
396,116.0,24.0,17.0
397,116.0,24.0,17.0
398,116.0,24.0,17.0
399,116.0,24.0,19.0
400,116.0,24.0,19.0
401,118.0,17.0,19.0
402,118.0,17.0,19.0
403,118.0,17.0,19.0
404,118.0,17.0,19.0
405,118.0,17.0,18.0
406,118.0,17.0,18.0
407,121.0,12.0,18.0
408,121.0,12.0,18.0
409,121.0,12.0,18.0
410,121.0,12.0,18.0
411,121.0,12.0,17.0
