,pandemic_infected,pandemic_recovered,pandemic_susceptible
235,2.375e-05,0.43082250000000005,0.56226875
236,1.875e-05,0.43083,0.562265
237,1.75e-05,0.43083625,0.5622625
238,1.625e-05,0.4308425,0.56226
239,1.625e-05,0.43085125,0.56225875
240,1.75e-05,0.43085500000000004,0.5622575
241,1.375e-05,0.4308625,0.5622575
242,1.25e-05,0.43086875,0.5622575
243,1.125e-05,0.43087375,0.56225625
244,1.125e-05,0.43088125,0.56225125
245,1.25e-05,0.43088625,0.56225
246,1.375e-05,0.43089125,0.5622475
247,1.375e-05,0.4308925,0.56224375
248,8.75e-06,0.43089875,0.56224375
249,1.125e-05,0.4309,0.56224125
250,1.125e-05,0.43090375,0.5622375
251,1.125e-05,0.4309075,0.56223375
252,1.125e-05,0.43091125,0.5622325
253,8.75e-06,0.43091125,0.5622325
254,6.25e-06,0.43091625,0.5622325
255,5e-06,0.43092125,0.56223125
256,3.75e-06,0.430925,0.56223125
257,3.75e-06,0.43092749999999996,0.56223125
258,3.75e-06,0.43093000000000004,0.56223125
259,2.5e-06,0.43093000000000004,0.56223125
260,2.5e-06,0.43093125,0.56223125
261,1.25e-06,0.43093375,0.56223125
262,1.25e-06,0.430935,0.56223125
263,1.25e-06,0.430935,0.56223125
264,1.25e-06,0.430935,0.56223125
265,1.25e-06,0.4309375,0.56223125
266,1.25e-06,0.43093875,0.56223125
267,1.25e-06,0.43093875,0.56223125
268,1.25e-06,0.4309425,0.56223125
269,1.25e-06,0.43094375,0.56223125
270,1.25e-06,0.43094375,0.56223125
271,1.25e-06,0.43094625,0.56223125
272,1.25e-06,0.43094625,0.56223125
273,1.25e-06,0.43094625,0.56223125
274,1.25e-06,0.43094625,0.56223125
275,1.25e-06,0.43094625,0.56223125
276,1.25e-06,0.43094625,0.56223125
277,1.25e-06,0.43094750000000004,0.56223125
278,1.25e-06,0.43094750000000004,0.56223125
279,1.25e-06,0.43094875,0.56223125
280,1.25e-06,0.43094875,0.56223125
281,1.25e-06,0.43095,0.56223125
282,1.25e-06,0.43095,0.56223125
283,1.25e-06,0.43095125,0.56223125
284,0.00062625,3.75e-06,0.9993675
285,0.000715,4.625e-05,0.99915875
286,0.00091875,0.00010375,0.99879125
287,0.00123875,0.000195,0.9982549999999999
288,0.00198875,0.00032125,0.99720875
289,0.00321625,0.00055125,0.9954424999999999
290,0.0056575,0.00094125,0.99207625
291,0.01020375,0.0016524999999999999,0.985975
292,0.01698375,0.00279,0.9765
293,0.0256975,0.0047,0.963575
294,0.035005,0.00741375,0.94823875
295,0.0435475,0.01106875,0.93191875
296,0.049765,0.01552125,0.916435
297,0.054215,0.02069125,0.90168125
298,0.057085000000000004,0.026355,0.88795625
299,0.05903625,0.0325975,0.87455875
300,0.059817499999999996,0.03926,0.8619725
301,0.06027875,0.04644125,0.84967125
302,0.06029875,0.0538125,0.83766125
303,0.0596525,0.0614725,0.82631375
304,0.05894125,0.06942375,0.81529125
305,0.05785375,0.0775525,0.80491
306,0.05649875,0.0857525,0.79489625
307,0.0548225,0.09423375,0.7855025
308,0.0530625,0.1026625,0.77663375
309,0.0510675,0.11102125,0.7681574999999999
310,0.04925375,0.11932875,0.76015875
311,0.047014999999999994,0.12765125,0.75261
312,0.0449375,0.13582125,0.74570125
313,0.04275125,0.14395375,0.7391375
314,0.04054625,0.1520125,0.7330725
315,0.0384575,0.1599975,0.72731875
316,0.03656875,0.16764125,0.72198625
317,0.03435625,0.1752875,0.7170725
318,0.03234875,0.182525,0.7125125
319,0.0303325,0.1894475,0.70831125
320,0.02844625,0.19635625,0.70438625
321,0.02669375,0.20318,0.70058625
322,0.02513125,0.20955875,0.6970824999999999
323,0.02349,0.21568249999999997,0.69393875
324,0.02185375,0.22161625,0.691005
325,0.0202975,0.22741375,0.68829875
326,0.01883625,0.23296,0.685805
327,0.01741875,0.23828625,0.683565
328,0.01625875,0.24341,0.68140875
329,0.0150525,0.24821875,0.6794399999999999
330,0.01388625,0.25295125,0.67762875
331,0.01295125,0.25734125,0.67594625
332,0.01199125,0.2616,0.67442125
333,0.011072499999999999,0.26567625,0.6730775
334,0.01035375,0.26949625,0.671715
335,0.00963625,0.27324625,0.6704625
336,0.00895375,0.27688625,0.66926625
337,0.008395,0.2802225,0.6681425
338,0.00770125,0.283555,0.6671475
339,0.00722875,0.2866875,0.6661675
340,0.00676875,0.28968,0.66518125
341,0.00628375,0.29249250000000004,0.66435625
342,0.00591625,0.29510625,0.663525
343,0.0055425,0.29756125,0.66276875
344,0.0051775,0.299925,0.662045
345,0.0048200000000000005,0.30230500000000005,0.6613899999999999
346,0.004445,0.30444499999999997,0.66077125
347,0.0042225000000000006,0.3065125,0.66013875
348,0.00392375,0.30850875,0.6595625
349,0.0037325,0.3103375,0.65901
350,0.00349875,0.3120425,0.65850125
351,0.00331625,0.31374125,0.6580325
352,0.003045,0.31537750000000003,0.657625
353,0.00288625,0.316835,0.6572175
354,0.0026774999999999998,0.31823125,0.65683625
355,0.00250875,0.319575,0.65646625
356,0.00237375,0.32085375,0.656095
357,0.0022375,0.32212125,0.65574125
358,0.00213,0.32331750000000004,0.65544125
359,0.0019524999999999998,0.32445375,0.65515375
360,0.001855,0.3254475,0.65489
361,0.00177875,0.32650125,0.65462
362,0.00172625,0.32741625,0.65435875
363,0.0016024999999999998,0.32830375,0.6541524999999999
364,0.0015125,0.32915625,0.653935
365,0.00146375,0.32993375,0.6537075
366,0.0013824999999999998,0.33069625,0.6535075
367,0.00122625,0.33210625,0.65314375
368,0.00117625,0.33270375,0.65295375
369,0.00108875,0.33329000000000003,0.65281375
370,0.0009875,0.33387,0.65267875
371,0.0009074999999999999,0.334435,0.65257625
372,0.0008449999999999999,0.3349625,0.652465
373,0.00083375,0.33546,0.65232625
374,0.00077875,0.335965,0.65221125
375,0.00075375,0.3364275,0.6520925
376,0.0007099999999999999,0.3368825,0.651995
377,0.000665,0.33728625,0.6519075
378,0.00062375,0.33765625,0.65181375
379,0.000585,0.3380125,0.6517275
380,0.00057625,0.33835,0.65164125
381,0.00050875,0.33863875,0.65159
382,0.00047125,0.33894875,0.65152375
383,0.0004375,0.33925,0.6514425
384,0.00042625,0.33948875,0.651385
385,0.00040375,0.33975875,0.6513325
386,0.00037625,0.33999875,0.65127
387,0.00035125,0.340235,0.65122375
388,0.00033625,0.34045125,0.65117125
389,0.000315,0.34062,0.65113
390,0.00028375,0.3408025,0.65109875
391,0.0002525,0.340995,0.65106875
392,0.00025,0.34119,0.65102625
393,0.00022,0.3413825,0.6509975
394,0.00021,0.34153875,0.65097625
395,0.00020625,0.3416775,0.6509475
396,0.00018375,0.34181999999999996,0.65093
397,0.00017250000000000002,0.3419375,0.65090625
398,0.00015875,0.34207625,0.65088125
399,0.0001575,0.3421975,0.6508550000000001
400,0.00014125,0.34231500000000004,0.65084125
401,0.000135,0.34243125,0.65082125
402,0.00011999999999999999,0.3425375,0.65080625
403,0.00011,0.3426225,0.6507975
404,0.00010125,0.34275,0.6507775
405,0.00010375,0.3428175,0.6507625
406,0.0001,0.34289625,0.65074625
407,8.125e-05,0.34300125,0.6507375
408,7.75e-05,0.343055,0.65073125
409,7.625e-05,0.3431125,0.6507175000000001
410,6.25e-05,0.34317125,0.65071125
411,5.9999999999999995e-05,0.34323625,0.65070625
412,5.7499999999999995e-05,0.3432875,0.65069625
413,4.625e-05,0.34333625,0.65069
414,4.125e-05,0.34337375,0.6506824999999999
415,3.625e-05,0.34342625,0.65067875
