,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
445,177.0,335.0,78.0,63.0
446,192.0,327.0,84.0,50.0
447,197.0,315.0,63.0,60.0
448,179.0,297.0,80.0,56.0
449,208.0,319.0,80.0,58.0
450,169.0,330.0,86.0,51.0
451,209.0,310.0,57.0,50.0
452,178.0,307.0,75.0,62.0
453,188.0,303.0,80.0,61.0
454,172.0,360.0,77.0,59.0
455,172.0,332.0,89.0,48.0
456,179.0,328.0,75.0,45.0
457,154.0,329.0,84.0,47.0
458,172.0,326.0,66.0,39.0
459,172.0,319.0,70.0,49.0
460,165.0,349.0,90.0,47.0
461,168.0,368.0,85.0,63.0
462,161.0,324.0,76.0,60.0
463,165.0,295.0,81.0,47.0
464,167.0,317.0,51.0,59.0
465,149.0,312.0,70.0,67.0
466,187.0,332.0,93.0,43.0
467,177.0,318.0,77.0,51.0
468,179.0,288.0,74.0,29.0
469,177.0,337.0,88.0,43.0
470,178.0,290.0,50.0,57.0
471,179.0,305.0,90.0,56.0
472,168.0,345.0,80.0,40.0
473,169.0,311.0,84.0,46.0
474,171.0,307.0,72.0,56.0
475,190.0,326.0,77.0,64.0
476,169.0,385.0,79.0,69.0
477,186.0,326.0,89.0,47.0
478,185.0,346.0,49.0,51.0
479,186.0,332.0,77.0,55.0
480,182.0,315.0,74.0,49.0
481,170.0,341.0,81.0,70.0
482,144.0,331.0,73.0,51.0
483,155.0,327.0,71.0,48.0
484,134.0,346.0,89.0,55.0
485,191.0,323.0,82.0,47.0
486,176.0,295.0,70.0,65.0
487,177.0,350.0,66.0,59.0
488,184.0,330.0,76.0,52.0
489,161.0,305.0,80.0,48.0
490,161.0,323.0,67.0,66.0
491,157.0,331.0,72.0,50.0
492,184.0,324.0,65.0,45.0
493,182.0,308.0,76.0,52.0
494,198.0,321.0,80.0,39.0
495,174.0,308.0,59.0,50.0
496,173.0,292.0,73.0,43.0
497,149.0,277.0,64.0,49.0
498,161.0,300.0,64.0,34.0
499,190.0,325.0,69.0,65.0
500,157.0,285.0,70.0,57.0
501,163.0,330.0,73.0,48.0
502,156.0,309.0,82.0,45.0
503,157.0,337.0,78.0,38.0
504,147.0,335.0,66.0,51.0
505,150.0,351.0,61.0,58.0
506,156.0,312.0,74.0,62.0
507,155.0,306.0,80.0,57.0
508,194.0,364.0,75.0,43.0
509,164.0,321.0,66.0,40.0
510,163.0,320.0,69.0,49.0
511,158.0,294.0,74.0,41.0
512,170.0,268.0,70.0,55.0
513,163.0,278.0,63.0,44.0
514,176.0,289.0,67.0,45.0
515,155.0,304.0,69.0,51.0
516,144.0,298.0,66.0,42.0
517,154.0,319.0,61.0,56.0
518,164.0,343.0,64.0,39.0
519,162.0,284.0,60.0,49.0
520,159.0,287.0,69.0,53.0
521,172.0,291.0,76.0,46.0
522,164.0,330.0,65.0,49.0
523,162.0,292.0,88.0,47.0
524,179.0,310.0,64.0,47.0
525,169.0,314.0,65.0,52.0
526,168.0,314.0,70.0,47.0
527,172.0,322.0,53.0,40.0
528,148.0,298.0,64.0,59.0
529,183.0,325.0,63.0,72.0
530,170.0,275.0,64.0,54.0
531,170.0,324.0,57.0,66.0
532,155.0,309.0,68.0,59.0
533,163.0,292.0,54.0,53.0
534,161.0,288.0,79.0,63.0
535,183.0,327.0,62.0,52.0
536,161.0,364.0,81.0,59.0
537,153.0,322.0,62.0,46.0
538,160.0,354.0,62.0,51.0
539,183.0,294.0,73.0,56.0
540,193.0,346.0,53.0,52.0
541,171.0,353.0,67.0,47.0
542,189.0,322.0,55.0,52.0
543,186.0,312.0,72.0,44.0
544,146.0,301.0,67.0,44.0
545,185.0,295.0,63.0,47.0
546,183.0,285.0,72.0,52.0
547,161.0,332.0,81.0,55.0
548,154.0,364.0,53.0,49.0
549,149.0,339.0,64.0,55.0
550,147.0,319.0,59.0,45.0
551,173.0,319.0,65.0,47.0
552,183.0,308.0,73.0,46.0
553,153.0,304.0,67.0,47.0
554,174.0,302.0,57.0,50.0
555,165.0,312.0,75.0,50.0
556,152.0,270.0,60.0,54.0
557,144.0,305.0,43.0,42.0
558,139.0,287.0,70.0,67.0
559,161.0,280.0,57.0,54.0
560,147.0,289.0,80.0,45.0
561,159.0,293.0,70.0,50.0
562,161.0,294.0,55.0,55.0
563,173.0,299.0,62.0,51.0
564,147.0,302.0,69.0,53.0
565,157.0,331.0,73.0,58.0
566,155.0,295.0,56.0,42.0
567,154.0,268.0,62.0,37.0
568,152.0,295.0,77.0,50.0
569,143.0,297.0,68.0,49.0
570,168.0,318.0,70.0,54.0
571,150.0,288.0,59.0,56.0
572,154.0,327.0,68.0,60.0
573,149.0,304.0,52.0,38.0
574,175.0,314.0,51.0,58.0
575,173.0,296.0,66.0,59.0
576,184.0,290.0,84.0,44.0
577,160.0,311.0,56.0,49.0
578,197.0,310.0,62.0,50.0
579,164.0,291.0,69.0,51.0
580,167.0,284.0,58.0,45.0
581,149.0,266.0,76.0,44.0
582,164.0,291.0,74.0,55.0
583,153.0,340.0,66.0,46.0
584,137.0,285.0,77.0,56.0
585,140.0,315.0,68.0,49.0
586,173.0,297.0,59.0,58.0
587,168.0,311.0,68.0,41.0
588,174.0,299.0,55.0,55.0
589,151.0,316.0,61.0,48.0
590,163.0,286.0,55.0,41.0
591,144.0,305.0,43.0,43.0
592,136.0,306.0,57.0,47.0
593,160.0,274.0,57.0,39.0
594,162.0,276.0,57.0,48.0
595,133.0,328.0,55.0,57.0
596,172.0,348.0,76.0,62.0
597,145.0,323.0,57.0,49.0
598,161.0,290.0,70.0,52.0
599,149.0,325.0,61.0,41.0
600,156.0,302.0,66.0,56.0
601,132.0,340.0,71.0,54.0
602,151.0,280.0,55.0,47.0
603,154.0,291.0,65.0,37.0
604,170.0,294.0,51.0,57.0
605,156.0,344.0,56.0,52.0
606,166.0,305.0,43.0,51.0
607,153.0,317.0,60.0,34.0
608,175.0,339.0,51.0,44.0
609,153.0,306.0,61.0,39.0
610,157.0,322.0,60.0,50.0
611,154.0,296.0,73.0,46.0
612,168.0,321.0,61.0,59.0
613,145.0,285.0,66.0,60.0
614,146.0,310.0,67.0,60.0
615,140.0,323.0,53.0,60.0
616,115.0,299.0,63.0,67.0
617,141.0,300.0,67.0,62.0
618,157.0,298.0,61.0,49.0
619,149.0,305.0,62.0,50.0
620,145.0,307.0,68.0,51.0
621,153.0,268.0,82.0,53.0
622,134.0,244.0,72.0,43.0
623,167.0,296.0,74.0,54.0
624,161.0,296.0,51.0,58.0
625,156.0,297.0,68.0,48.0
626,144.0,319.0,48.0,42.0
627,146.0,277.0,71.0,48.0
628,141.0,306.0,54.0,54.0
629,161.0,295.0,60.0,45.0
630,129.0,286.0,66.0,45.0
631,148.0,276.0,68.0,44.0
632,145.0,307.0,56.0,48.0
633,152.0,287.0,59.0,52.0
634,151.0,255.0,52.0,39.0
635,146.0,269.0,55.0,47.0
636,170.0,308.0,59.0,46.0
637,158.0,275.0,58.0,39.0
638,143.0,288.0,65.0,42.0
639,145.0,276.0,49.0,49.0
640,148.0,286.0,54.0,50.0
641,149.0,326.0,60.0,55.0
642,152.0,283.0,72.0,47.0
643,153.0,282.0,49.0,47.0
644,144.0,281.0,67.0,56.0
645,161.0,297.0,75.0,51.0
646,148.0,294.0,71.0,54.0
647,149.0,288.0,47.0,48.0
648,148.0,282.0,60.0,35.0
649,146.0,261.0,48.0,70.0
650,153.0,294.0,54.0,54.0
651,144.0,304.0,55.0,53.0
652,163.0,284.0,56.0,45.0
653,147.0,286.0,51.0,52.0
654,168.0,270.0,63.0,41.0
655,170.0,346.0,61.0,49.0
656,175.0,324.0,55.0,47.0
657,159.0,286.0,58.0,56.0
658,147.0,327.0,66.0,47.0
659,153.0,292.0,59.0,41.0
660,165.0,308.0,59.0,47.0
661,126.0,288.0,61.0,49.0
662,141.0,311.0,45.0,40.0
663,142.0,290.0,61.0,45.0
664,105.0,297.0,40.0,44.0
665,131.0,283.0,66.0,32.0
666,127.0,248.0,59.0,50.0
667,151.0,281.0,43.0,32.0
668,148.0,316.0,54.0,48.0
669,158.0,270.0,55.0,46.0
670,151.0,273.0,75.0,41.0
671,153.0,270.0,63.0,47.0
672,147.0,291.0,59.0,54.0
673,130.0,290.0,53.0,35.0
674,138.0,289.0,59.0,51.0
675,158.0,306.0,67.0,41.0
676,136.0,304.0,61.0,46.0
677,168.0,302.0,64.0,42.0
678,149.0,300.0,53.0,50.0
679,140.0,267.0,45.0,42.0
680,156.0,307.0,62.0,39.0
681,157.0,318.0,56.0,53.0
682,146.0,300.0,61.0,52.0
683,144.0,290.0,66.0,55.0
684,151.0,273.0,62.0,42.0
685,129.0,312.0,62.0,48.0
686,140.0,282.0,67.0,49.0
687,127.0,265.0,53.0,57.0
688,139.0,298.0,65.0,51.0
689,129.0,266.0,59.0,44.0
690,118.0,305.0,60.0,43.0
691,132.0,284.0,57.0,50.0
692,133.0,316.0,56.0,51.0
693,137.0,268.0,58.0,56.0
694,156.0,273.0,58.0,50.0
695,151.0,259.0,44.0,50.0
696,136.0,288.0,64.0,55.0
697,143.0,268.0,61.0,48.0
698,136.0,257.0,54.0,48.0
699,152.0,257.0,62.0,53.0
700,159.0,289.0,54.0,54.0
701,137.0,293.0,67.0,47.0
702,136.0,245.0,60.0,42.0
703,118.0,273.0,67.0,44.0
704,127.0,258.0,69.0,35.0
705,146.0,266.0,68.0,43.0
706,127.0,285.0,62.0,46.0
707,147.0,285.0,56.0,50.0
708,133.0,290.0,70.0,51.0
709,118.0,290.0,62.0,59.0
710,121.0,286.0,58.0,57.0
711,144.0,247.0,48.0,49.0
712,131.0,280.0,62.0,54.0
713,130.0,274.0,59.0,45.0
714,129.0,249.0,54.0,48.0
715,157.0,296.0,45.0,43.0
716,133.0,299.0,57.0,37.0
717,126.0,276.0,53.0,41.0
718,149.0,277.0,58.0,50.0
719,128.0,306.0,62.0,53.0
720,134.0,305.0,65.0,51.0
721,150.0,297.0,56.0,40.0
722,134.0,242.0,68.0,53.0
723,130.0,287.0,60.0,53.0
724,121.0,267.0,60.0,42.0
725,122.0,241.0,59.0,40.0
726,128.0,282.0,48.0,42.0
727,136.0,267.0,53.0,49.0
728,139.0,282.0,46.0,38.0
729,120.0,279.0,53.0,35.0
730,144.0,282.0,67.0,39.0
731,142.0,253.0,58.0,47.0
732,129.0,278.0,39.0,41.0
733,133.0,295.0,45.0,42.0
734,124.0,260.0,60.0,35.0
735,135.0,314.0,62.0,52.0
736,114.0,292.0,62.0,38.0
737,141.0,292.0,51.0,53.0
738,133.0,280.0,67.0,42.0
739,142.0,296.0,67.0,39.0
740,137.0,283.0,71.0,42.0
741,145.0,287.0,52.0,38.0
742,144.0,240.0,55.0,36.0
743,153.0,262.0,59.0,42.0
744,143.0,255.0,56.0,34.0
745,132.0,271.0,57.0,43.0
746,142.0,283.0,54.0,28.0
747,123.0,322.0,63.0,33.0
748,123.0,306.0,58.0,41.0
749,133.0,278.0,60.0,54.0
750,134.0,262.0,65.0,32.0
751,144.0,269.0,53.0,34.0
752,155.0,293.0,54.0,40.0
753,114.0,286.0,71.0,41.0
754,133.0,267.0,56.0,35.0
755,127.0,240.0,45.0,34.0
