,helicopter_theta,helicopter_psi
193,-0.35407,1.2189
194,-0.35205,1.2221
195,-0.34920999999999996,1.2124
196,-0.35448,1.2343
197,-0.35286,1.2245
198,-0.3561,1.2302
199,-0.35245,1.2164
200,-0.35812,1.2237
201,-0.348,1.2116
202,-0.35569,1.2302
203,-0.35812,1.2245
204,-0.34962,1.2132
205,-0.35407,1.2302
206,-0.34598,1.2084
207,-0.34719,1.2059
208,-0.35731,1.2262
209,-0.34638,1.2205
210,-0.35043,1.2286
211,-0.34962,1.2189
212,-0.35002,1.2197
213,-0.34031,1.2075
214,-0.34719,1.227
215,-0.34436,1.2148
216,-0.35124,1.227
217,-0.34314,1.214
218,-0.34314,1.214
219,-0.348,1.2302
220,-0.34638,1.2262
221,-0.35002,1.2189
222,-0.34476,1.2164
223,-0.3484,1.2334
