,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_athens
205,135.0,57.0,5.0,11.0,19.0,77.0,44.0,36.0,79.0,39.0
206,135.0,57.0,5.0,11.0,19.0,77.0,44.0,36.0,79.0,39.0
207,116.0,91.0,4.0,11.0,19.0,70.0,43.0,32.0,65.0,45.0
208,116.0,91.0,4.0,11.0,19.0,70.0,43.0,32.0,65.0,45.0
209,107.0,97.0,4.0,16.0,12.0,45.0,49.0,29.0,43.0,61.0
210,107.0,97.0,4.0,16.0,12.0,45.0,49.0,29.0,43.0,61.0
211,113.0,143.0,2.0,19.0,8.0,42.0,48.0,30.0,52.0,75.0
212,113.0,143.0,2.0,19.0,8.0,42.0,48.0,30.0,52.0,75.0
213,111.0,143.0,2.0,8.0,6.0,46.0,32.0,22.0,67.0,87.0
214,111.0,143.0,2.0,8.0,6.0,46.0,32.0,22.0,67.0,87.0
215,111.0,103.0,4.0,4.0,6.0,59.0,34.0,20.0,68.0,82.0
216,111.0,103.0,4.0,4.0,6.0,59.0,34.0,20.0,68.0,82.0
217,106.0,132.0,6.0,7.0,0.0,56.0,19.0,13.0,55.0,77.0
218,106.0,132.0,6.0,7.0,0.0,56.0,19.0,13.0,55.0,77.0
219,104.0,172.0,4.0,8.0,0.0,56.0,23.0,20.0,39.0,79.0
220,104.0,172.0,4.0,8.0,0.0,56.0,23.0,20.0,39.0,79.0
221,122.0,147.0,4.0,12.0,3.0,61.0,26.0,30.0,21.0,68.0
222,122.0,147.0,4.0,12.0,3.0,61.0,26.0,30.0,21.0,68.0
223,131.0,102.0,6.0,6.0,14.0,63.0,26.0,42.0,24.0,71.0
224,131.0,102.0,6.0,6.0,14.0,63.0,26.0,42.0,24.0,71.0
225,98.0,51.0,8.0,4.0,27.0,65.0,20.0,48.0,20.0,48.0
226,98.0,51.0,8.0,4.0,27.0,65.0,20.0,48.0,20.0,48.0
227,81.0,63.0,7.0,8.0,27.0,52.0,25.0,40.0,20.0,43.0
228,81.0,63.0,7.0,8.0,27.0,52.0,25.0,40.0,20.0,43.0
229,81.0,63.0,7.0,8.0,27.0,52.0,25.0,40.0,20.0,43.0
230,84.0,48.0,12.0,17.0,44.0,50.0,32.0,49.0,27.0,44.0
231,87.0,75.0,23.0,33.0,44.0,54.0,36.0,62.0,44.0,36.0
232,87.0,75.0,23.0,33.0,44.0,54.0,36.0,62.0,44.0,36.0
233,82.0,68.0,30.0,24.0,0.0,65.0,56.0,65.0,43.0,44.0
234,82.0,68.0,30.0,24.0,0.0,65.0,56.0,65.0,43.0,44.0
235,91.0,79.0,7.0,11.0,0.0,59.0,63.0,63.0,43.0,56.0
236,91.0,79.0,7.0,11.0,0.0,59.0,63.0,63.0,43.0,56.0
237,101.0,98.0,9.0,22.0,10.0,54.0,44.0,64.0,36.0,45.0
238,101.0,98.0,9.0,22.0,10.0,54.0,44.0,64.0,36.0,45.0
239,103.0,114.0,31.0,31.0,10.0,33.0,59.0,107.0,34.0,43.0
240,103.0,114.0,31.0,31.0,10.0,33.0,59.0,107.0,34.0,43.0
241,112.0,114.0,57.0,34.0,1.0,31.0,88.0,167.0,29.0,52.0
242,112.0,114.0,57.0,34.0,1.0,31.0,88.0,167.0,29.0,52.0
243,123.0,30.0,74.0,37.0,13.0,37.0,59.0,178.0,16.0,71.0
244,123.0,30.0,74.0,37.0,13.0,37.0,59.0,178.0,16.0,71.0
245,119.0,30.0,84.0,54.0,9.0,36.0,64.0,153.0,14.0,94.0
246,119.0,30.0,84.0,54.0,9.0,36.0,64.0,153.0,14.0,94.0
247,116.0,16.0,93.0,78.0,4.0,35.0,57.0,166.0,19.0,82.0
248,116.0,16.0,93.0,78.0,4.0,35.0,57.0,166.0,19.0,82.0
249,127.0,15.0,91.0,67.0,0.0,39.0,42.0,145.0,22.0,59.0
250,127.0,15.0,91.0,67.0,0.0,39.0,42.0,145.0,22.0,59.0
251,129.0,14.0,0.0,54.0,1.0,26.0,30.0,140.0,20.0,70.0
252,129.0,14.0,0.0,54.0,1.0,26.0,30.0,140.0,20.0,70.0
253,88.0,0.0,0.0,7.0,13.0,30.0,26.0,112.0,7.0,81.0
254,88.0,0.0,0.0,7.0,13.0,30.0,26.0,112.0,7.0,81.0
255,75.0,0.0,0.0,5.0,13.0,31.0,12.0,129.0,5.0,48.0
256,75.0,0.0,0.0,5.0,13.0,31.0,12.0,129.0,5.0,48.0
257,84.0,0.0,0.0,3.0,0.0,16.0,7.0,148.0,10.0,31.0
258,84.0,0.0,0.0,3.0,0.0,16.0,7.0,148.0,10.0,31.0
259,89.0,0.0,0.0,1.0,0.0,14.0,11.0,97.0,10.0,24.0
260,89.0,0.0,0.0,1.0,0.0,14.0,11.0,97.0,10.0,24.0
261,88.0,0.0,3.0,6.0,14.0,20.0,19.0,91.0,0.0,17.0
262,88.0,0.0,3.0,6.0,14.0,20.0,19.0,91.0,0.0,17.0
263,85.0,0.0,3.0,6.0,14.0,27.0,24.0,52.0,8.0,9.0
264,85.0,0.0,3.0,6.0,14.0,27.0,24.0,52.0,8.0,9.0
265,25.0,0.0,0.0,14.0,14.0,32.0,25.0,49.0,38.0,8.0
266,25.0,0.0,0.0,14.0,14.0,32.0,25.0,49.0,38.0,8.0
267,33.0,0.0,8.0,28.0,0.0,1.0,24.0,67.0,68.0,8.0
268,33.0,0.0,8.0,28.0,0.0,1.0,24.0,67.0,68.0,8.0
269,57.0,1.0,1.0,25.0,0.0,17.0,41.0,69.0,33.0,8.0
270,57.0,1.0,1.0,25.0,0.0,17.0,41.0,69.0,33.0,8.0
271,74.0,1.0,12.0,18.0,0.0,19.0,56.0,54.0,26.0,13.0
272,74.0,1.0,12.0,18.0,0.0,19.0,56.0,54.0,26.0,13.0
273,62.0,7.0,19.0,9.0,2.0,15.0,94.0,46.0,13.0,19.0
274,62.0,7.0,19.0,9.0,2.0,15.0,94.0,46.0,13.0,19.0
275,33.0,4.0,12.0,7.0,6.0,13.0,50.0,44.0,20.0,23.0
276,33.0,4.0,12.0,7.0,6.0,13.0,50.0,44.0,20.0,23.0
277,28.0,1.0,8.0,6.0,16.0,9.0,5.0,50.0,42.0,23.0
278,28.0,1.0,8.0,6.0,16.0,9.0,5.0,50.0,42.0,23.0
279,47.0,9.0,7.0,7.0,23.0,19.0,5.0,40.0,33.0,23.0
280,47.0,9.0,7.0,7.0,23.0,19.0,5.0,40.0,33.0,23.0
281,45.0,23.0,7.0,7.0,34.0,22.0,1.0,35.0,17.0,17.0
282,45.0,23.0,7.0,7.0,34.0,22.0,1.0,35.0,17.0,17.0
283,41.0,23.0,0.0,9.0,49.0,22.0,5.0,45.0,15.0,20.0
284,41.0,23.0,0.0,9.0,49.0,22.0,5.0,45.0,15.0,20.0
285,60.0,21.0,2.0,10.0,29.0,16.0,10.0,51.0,25.0,24.0
286,60.0,21.0,2.0,10.0,29.0,16.0,10.0,51.0,25.0,24.0
287,68.0,28.0,3.0,12.0,37.0,14.0,15.0,57.0,28.0,21.0
288,68.0,28.0,3.0,12.0,37.0,14.0,15.0,57.0,28.0,21.0
289,70.0,51.0,3.0,11.0,37.0,12.0,20.0,46.0,26.0,16.0
290,70.0,51.0,3.0,11.0,37.0,12.0,20.0,46.0,26.0,16.0
291,73.0,82.0,1.0,4.0,26.0,15.0,19.0,41.0,30.0,21.0
292,73.0,82.0,1.0,4.0,26.0,15.0,19.0,41.0,30.0,21.0
293,63.0,90.0,1.0,10.0,26.0,19.0,22.0,36.0,28.0,23.0
294,63.0,90.0,1.0,10.0,26.0,19.0,22.0,36.0,28.0,23.0
