,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
493,21.0,48.0
494,20.0,43.0
495,24.0,52.0
496,30.0,45.0
497,26.0,49.0
498,23.0,46.0
499,27.0,45.0
500,22.0,45.0
501,25.0,45.0
502,30.0,37.0
503,31.0,41.0
504,20.0,44.0
505,22.0,49.0
506,28.0,53.0
507,21.0,62.0
508,15.0,59.0
509,18.0,61.0
510,26.0,44.0
511,31.0,63.0
512,30.0,57.0
513,25.0,44.0
514,20.0,45.0
515,30.0,42.0
516,25.0,44.0
517,27.0,44.0
518,21.0,53.0
519,28.0,53.0
520,23.0,53.0
521,24.0,43.0
522,19.0,45.0
523,23.0,33.0
524,20.0,51.0
525,32.0,43.0
526,24.0,41.0
527,22.0,58.0
528,21.0,51.0
529,24.0,46.0
530,24.0,47.0
531,20.0,60.0
532,19.0,59.0
533,28.0,46.0
534,26.0,59.0
535,38.0,46.0
536,20.0,59.0
537,23.0,53.0
538,21.0,52.0
539,20.0,43.0
540,32.0,49.0
541,15.0,51.0
542,21.0,52.0
543,17.0,44.0
544,19.0,44.0
545,17.0,54.0
546,23.0,45.0
547,22.0,59.0
548,21.0,40.0
549,23.0,54.0
550,16.0,55.0
551,27.0,50.0
552,19.0,46.0
553,24.0,42.0
554,19.0,41.0
555,25.0,48.0
556,23.0,40.0
557,20.0,52.0
558,17.0,42.0
559,15.0,49.0
560,20.0,57.0
561,15.0,32.0
562,15.0,53.0
563,22.0,48.0
564,14.0,75.0
565,22.0,42.0
566,22.0,41.0
567,23.0,48.0
568,16.0,46.0
569,14.0,42.0
570,23.0,52.0
571,34.0,41.0
572,16.0,37.0
573,20.0,59.0
574,26.0,39.0
575,14.0,64.0
576,21.0,45.0
577,20.0,45.0
578,22.0,44.0
579,17.0,46.0
580,14.0,54.0
581,23.0,64.0
582,20.0,35.0
583,19.0,48.0
584,28.0,40.0
585,25.0,56.0
586,26.0,40.0
587,16.0,38.0
588,17.0,49.0
589,23.0,43.0
590,20.0,45.0
591,30.0,50.0
592,20.0,25.0
593,25.0,43.0
594,15.0,60.0
595,16.0,43.0
596,22.0,47.0
597,19.0,49.0
598,21.0,51.0
