,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
653,118.0,261.0
654,131.0,213.0
655,131.0,247.0
656,131.0,239.0
657,140.0,232.0
658,122.0,252.0
659,117.0,228.0
660,126.0,245.0
661,117.0,232.0
662,113.0,243.0
663,133.0,219.0
664,97.0,226.0
665,130.0,242.0
666,126.0,231.0
667,106.0,227.0
668,110.0,252.0
669,130.0,225.0
670,103.0,229.0
671,124.0,258.0
672,128.0,257.0
673,119.0,266.0
674,116.0,245.0
675,149.0,220.0
676,105.0,210.0
677,123.0,237.0
678,130.0,270.0
679,107.0,250.0
680,114.0,238.0
681,133.0,212.0
682,102.0,253.0
683,105.0,263.0
684,95.0,281.0
685,127.0,214.0
686,106.0,239.0
687,109.0,225.0
688,101.0,266.0
689,109.0,254.0
690,109.0,261.0
691,109.0,244.0
692,115.0,256.0
693,115.0,254.0
694,134.0,251.0
695,138.0,245.0
696,123.0,282.0
697,130.0,239.0
698,118.0,269.0
699,107.0,240.0
700,107.0,251.0
701,107.0,260.0
702,125.0,261.0
703,107.0,302.0
704,122.0,274.0
705,133.0,280.0
706,102.0,260.0
707,118.0,272.0
708,118.0,264.0
709,112.0,242.0
710,95.0,243.0
711,116.0,234.0
712,104.0,250.0
713,112.0,216.0
714,129.0,227.0
715,110.0,217.0
716,99.0,213.0
717,109.0,236.0
718,101.0,201.0
719,103.0,237.0
720,104.0,216.0
721,105.0,218.0
722,108.0,254.0
723,108.0,234.0
724,120.0,240.0
725,106.0,210.0
726,117.0,222.0
727,111.0,226.0
728,130.0,207.0
729,126.0,230.0
730,120.0,241.0
731,116.0,215.0
732,116.0,206.0
733,120.0,232.0
734,116.0,213.0
735,100.0,242.0
736,96.0,204.0
737,98.0,211.0
738,141.0,226.0
739,120.0,219.0
740,105.0,204.0
741,100.0,211.0
742,114.0,205.0
743,89.0,230.0
744,110.0,193.0
745,109.0,224.0
746,86.0,208.0
747,104.0,192.0
748,103.0,197.0
749,96.0,223.0
750,119.0,235.0
751,104.0,219.0
752,101.0,201.0
753,116.0,214.0
754,104.0,225.0
755,90.0,192.0
756,107.0,206.0
757,94.0,209.0
758,93.0,228.0
759,102.0,247.0
760,114.0,200.0
761,96.0,206.0
762,121.0,214.0
763,112.0,227.0
764,115.0,242.0
765,117.0,195.0
766,115.0,232.0
767,95.0,236.0
768,96.0,229.0
769,96.0,205.0
770,87.0,235.0
771,118.0,217.0
772,115.0,218.0
773,98.0,214.0
774,104.0,225.0
775,111.0,219.0
776,100.0,200.0
777,103.0,209.0
778,114.0,205.0
779,100.0,223.0
780,106.0,244.0
781,85.0,203.0
782,110.0,214.0
783,80.0,200.0
784,96.0,231.0
785,90.0,217.0
786,97.0,197.0
787,84.0,198.0
788,94.0,202.0
789,89.0,209.0
790,86.0,231.0
791,99.0,214.0
792,93.0,221.0
793,86.0,210.0
794,81.0,209.0
795,104.0,192.0
796,79.0,222.0
797,79.0,204.0
798,98.0,194.0
799,81.0,195.0
800,86.0,191.0
801,83.0,182.0
802,91.0,201.0
803,89.0,200.0
804,98.0,191.0
805,100.0,196.0
806,95.0,221.0
807,77.0,206.0
808,89.0,206.0
809,87.0,192.0
810,98.0,207.0
811,102.0,181.0
812,86.0,203.0
813,107.0,208.0
814,103.0,189.0
815,83.0,205.0
816,93.0,201.0
817,85.0,209.0
818,107.0,214.0
819,81.0,219.0
820,88.0,203.0
821,88.0,201.0
822,100.0,189.0
823,91.0,225.0
824,101.0,219.0
825,104.0,214.0
826,87.0,220.0
827,80.0,191.0
828,92.0,192.0
829,85.0,213.0
830,99.0,198.0
831,82.0,223.0
832,68.0,202.0
833,72.0,213.0
834,92.0,201.0
835,75.0,217.0
836,86.0,192.0
837,87.0,228.0
838,79.0,193.0
839,89.0,182.0
840,93.0,207.0
841,101.0,194.0
842,95.0,192.0
843,82.0,180.0
844,61.0,200.0
845,94.0,204.0
846,83.0,214.0
847,74.0,191.0
848,67.0,170.0
849,78.0,192.0
850,79.0,192.0
851,97.0,174.0
852,80.0,230.0
853,91.0,226.0
854,86.0,166.0
855,88.0,195.0
856,94.0,204.0
857,103.0,207.0
858,93.0,202.0
859,74.0,192.0
860,72.0,202.0
861,106.0,173.0
862,71.0,219.0
863,82.0,193.0
864,80.0,200.0
865,74.0,159.0
866,81.0,209.0
867,89.0,202.0
868,68.0,169.0
869,75.0,215.0
870,87.0,192.0
871,84.0,199.0
872,95.0,166.0
873,85.0,200.0
874,84.0,166.0
875,74.0,181.0
876,99.0,205.0
877,88.0,207.0
878,64.0,160.0
879,72.0,179.0
880,89.0,182.0
881,94.0,203.0
882,88.0,183.0
883,80.0,201.0
884,89.0,189.0
885,82.0,189.0
886,91.0,187.0
887,106.0,211.0
888,85.0,219.0
889,99.0,166.0
890,82.0,212.0
891,80.0,203.0
892,92.0,205.0
893,81.0,228.0
894,81.0,206.0
895,87.0,196.0
896,96.0,221.0
897,85.0,231.0
898,72.0,216.0
899,76.0,224.0
900,62.0,205.0
901,86.0,190.0
902,90.0,194.0
903,108.0,197.0
904,93.0,186.0
905,85.0,197.0
906,90.0,216.0
907,81.0,197.0
908,82.0,213.0
909,96.0,196.0
910,93.0,199.0
911,69.0,192.0
912,89.0,187.0
913,75.0,196.0
914,81.0,203.0
915,98.0,199.0
916,94.0,196.0
917,97.0,208.0
918,111.0,180.0
919,81.0,202.0
920,86.0,192.0
921,89.0,193.0
922,94.0,201.0
923,90.0,215.0
924,96.0,225.0
925,91.0,211.0
926,82.0,192.0
927,89.0,203.0
928,103.0,202.0
929,76.0,206.0
930,91.0,207.0
931,96.0,222.0
932,73.0,208.0
933,71.0,225.0
934,97.0,204.0
935,85.0,197.0
936,89.0,221.0
937,98.0,194.0
938,99.0,178.0
939,106.0,213.0
940,87.0,214.0
941,95.0,195.0
942,105.0,194.0
943,96.0,208.0
944,92.0,174.0
945,101.0,215.0
946,86.0,199.0
947,88.0,214.0
948,93.0,203.0
949,103.0,218.0
950,116.0,217.0
951,72.0,202.0
952,87.0,182.0
953,96.0,205.0
954,112.0,203.0
955,102.0,203.0
956,81.0,193.0
957,74.0,187.0
958,92.0,184.0
959,91.0,206.0
960,92.0,208.0
961,105.0,226.0
962,101.0,204.0
963,89.0,215.0
964,111.0,192.0
965,88.0,197.0
966,101.0,192.0
967,83.0,192.0
968,78.0,206.0
969,92.0,198.0
970,101.0,197.0
971,82.0,214.0
972,96.0,218.0
973,102.0,222.0
974,96.0,188.0
975,93.0,217.0
976,96.0,246.0
977,110.0,185.0
978,94.0,195.0
979,85.0,203.0
980,89.0,183.0
981,86.0,213.0
982,96.0,228.0
983,84.0,217.0
984,99.0,220.0
985,98.0,231.0
986,85.0,206.0
987,108.0,234.0
988,83.0,215.0
989,81.0,206.0
990,88.0,195.0
991,98.0,201.0
992,93.0,235.0
993,91.0,235.0
994,83.0,239.0
995,81.0,240.0
996,101.0,225.0
997,95.0,212.0
998,89.0,221.0
999,85.0,199.0
