,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
295,13.0,13.0,12.0,12.0
296,13.0,14.0,12.0,13.0
297,13.0,14.0,12.0,12.0
298,13.0,14.0,12.0,12.0
299,13.0,15.0,12.0,13.0
300,13.0,15.0,11.0,13.0
301,13.0,14.0,11.0,12.0
302,13.0,14.0,12.0,12.0
303,14.0,14.0,13.0,13.0
304,14.0,14.0,13.0,13.0
305,13.0,14.0,13.0,14.0
306,13.0,14.0,13.0,14.0
307,13.0,14.0,13.0,14.0
308,14.0,14.0,15.0,14.0
309,14.0,14.0,15.0,15.0
310,14.0,14.0,15.0,15.0
311,14.0,14.0,16.0,15.0
312,14.0,14.0,16.0,16.0
313,14.0,14.0,16.0,16.0
314,14.0,14.0,16.0,16.0
315,14.0,14.0,15.0,15.0
316,15.0,15.0,15.0,15.0
317,15.0,16.0,14.0,15.0
318,15.0,15.0,13.0,14.0
319,15.0,16.0,12.0,13.0
320,15.0,16.0,11.0,12.0
321,15.0,15.0,12.0,12.0
322,15.0,16.0,12.0,12.0
323,16.0,16.0,12.0,12.0
324,15.0,16.0,12.0,13.0
325,15.0,16.0,12.0,13.0
326,15.0,16.0,13.0,13.0
327,16.0,16.0,14.0,14.0
328,14.0,15.0,15.0,16.0
329,15.0,15.0,16.0,16.0
330,14.0,14.0,18.0,18.0
331,14.0,14.0,19.0,19.0
332,14.0,15.0,21.0,21.0
333,14.0,14.0,21.0,21.0
334,15.0,15.0,23.0,23.0
335,15.0,15.0,24.0,24.0
336,15.0,16.0,22.0,24.0
337,15.0,15.0,22.0,22.0
338,16.0,17.0,20.0,20.0
339,16.0,16.0,17.0,18.0
340,18.0,18.0,14.0,14.0
341,18.0,19.0,13.0,14.0
342,18.0,18.0,12.0,12.0
343,19.0,19.0,12.0,12.0
344,17.0,18.0,12.0,13.0
345,16.0,17.0,12.0,13.0
346,15.0,16.0,13.0,13.0
347,15.0,16.0,12.0,13.0
348,15.0,15.0,13.0,13.0
349,15.0,15.0,14.0,14.0
350,14.0,15.0,15.0,15.0
351,14.0,15.0,15.0,16.0
352,14.0,15.0,15.0,16.0
353,13.0,15.0,16.0,17.0
354,14.0,14.0,18.0,18.0
355,14.0,14.0,18.0,18.0
356,14.0,14.0,18.0,18.0
357,14.0,15.0,18.0,19.0
358,14.0,15.0,19.0,19.0
359,15.0,15.0,18.0,19.0
360,15.0,16.0,17.0,17.0
361,15.0,15.0,17.0,17.0
362,15.0,15.0,17.0,17.0
363,15.0,15.0,16.0,16.0
364,15.0,16.0,15.0,15.0
365,15.0,15.0,14.0,14.0
366,16.0,16.0,14.0,14.0
367,16.0,16.0,14.0,14.0
368,16.0,19.0,14.0,14.0
369,15.0,17.0,13.0,15.0
370,14.0,15.0,13.0,14.0
371,15.0,15.0,14.0,14.0
372,14.0,15.0,13.0,14.0
373,14.0,15.0,13.0,14.0
374,14.0,15.0,14.0,14.0
375,14.0,14.0,14.0,14.0
376,14.0,14.0,15.0,15.0
377,14.0,14.0,16.0,17.0
378,14.0,14.0,17.0,17.0
379,14.0,15.0,16.0,17.0
380,15.0,15.0,17.0,17.0
381,15.0,15.0,14.0,15.0
382,16.0,17.0,18.0,19.0
383,16.0,16.0,17.0,18.0
384,17.0,17.0,17.0,17.0
385,17.0,18.0,16.0,17.0
386,17.0,18.0,16.0,17.0
387,18.0,19.0,16.0,17.0
388,17.0,18.0,16.0,17.0
389,16.0,18.0,15.0,17.0
390,16.0,16.0,16.0,16.0
391,16.0,17.0,16.0,16.0
392,16.0,17.0,16.0,16.0
393,16.0,17.0,16.0,17.0
394,15.0,15.0,17.0,17.0
395,15.0,15.0,17.0,17.0
396,14.0,15.0,17.0,17.0
397,14.0,15.0,17.0,18.0
398,14.0,15.0,18.0,19.0
399,14.0,15.0,18.0,19.0
400,15.0,16.0,19.0,19.0
401,15.0,16.0,19.0,19.0
402,16.0,17.0,18.0,19.0
403,16.0,17.0,17.0,17.0
404,17.0,18.0,15.0,16.0
405,17.0,18.0,14.0,15.0
406,17.0,18.0,13.0,14.0
407,17.0,17.0,13.0,13.0
408,16.0,17.0,13.0,13.0
409,16.0,17.0,12.0,13.0
410,15.0,16.0,13.0,13.0
411,14.0,15.0,13.0,13.0
412,15.0,15.0,13.0,13.0
413,14.0,15.0,14.0,15.0
414,14.0,15.0,15.0,16.0
415,14.0,15.0,16.0,16.0
416,14.0,14.0,16.0,17.0
417,14.0,14.0,16.0,16.0
418,13.0,13.0,14.0,14.0
419,13.0,13.0,14.0,14.0
420,13.0,13.0,12.0,12.0
421,13.0,13.0,11.0,12.0
422,13.0,13.0,11.0,12.0
423,13.0,13.0,11.0,11.0
424,12.0,13.0,11.0,12.0
425,13.0,14.0,11.0,12.0
426,13.0,14.0,13.0,13.0
427,14.0,14.0,13.0,13.0
428,14.0,14.0,14.0,14.0
429,14.0,14.0,14.0,14.0
430,15.0,15.0,16.0,16.0
431,15.0,16.0,16.0,17.0
432,15.0,15.0,17.0,18.0
433,15.0,16.0,18.0,18.0
434,16.0,16.0,19.0,19.0
435,16.0,17.0,19.0,19.0
436,16.0,16.0,19.0,19.0
437,15.0,15.0,20.0,20.0
438,16.0,16.0,19.0,20.0
439,16.0,17.0,19.0,19.0
440,16.0,17.0,15.0,16.0
441,16.0,17.0,14.0,15.0
442,16.0,17.0,13.0,14.0
443,15.0,16.0,12.0,13.0
444,15.0,15.0,12.0,13.0
445,14.0,15.0,12.0,13.0
446,14.0,15.0,13.0,13.0
447,14.0,15.0,12.0,13.0
448,14.0,14.0,13.0,13.0
449,13.0,14.0,13.0,14.0
450,13.0,14.0,12.0,13.0
451,13.0,13.0,12.0,13.0
452,13.0,13.0,12.0,13.0
453,13.0,13.0,12.0,12.0
454,12.0,12.0,12.0,13.0
455,12.0,12.0,12.0,13.0
456,12.0,12.0,12.0,13.0
457,12.0,12.0,12.0,13.0
458,12.0,12.0,12.0,12.0
459,12.0,12.0,12.0,12.0
460,12.0,12.0,11.0,11.0
461,12.0,12.0,11.0,11.0
462,13.0,14.0,11.0,11.0
463,14.0,14.0,11.0,11.0
464,14.0,15.0,11.0,12.0
465,15.0,16.0,12.0,13.0
466,14.0,15.0,12.0,13.0
467,13.0,13.0,11.0,12.0
468,13.0,13.0,11.0,12.0
469,13.0,13.0,11.0,11.0
470,12.0,12.0,11.0,12.0
471,12.0,12.0,11.0,12.0
472,12.0,12.0,11.0,11.0
473,12.0,12.0,11.0,11.0
474,12.0,12.0,11.0,11.0
475,12.0,12.0,11.0,11.0
476,12.0,12.0,12.0,11.0
477,13.0,13.0,12.0,12.0
478,13.0,13.0,12.0,12.0
479,13.0,13.0,12.0,12.0
480,12.0,12.0,12.0,12.0
481,12.0,12.0,12.0,12.0
482,12.0,12.0,12.0,13.0
483,11.0,12.0,12.0,13.0
484,12.0,12.0,12.0,12.0
485,11.0,12.0,11.0,11.0
486,12.0,12.0,11.0,11.0
487,12.0,12.0,11.0,11.0
488,12.0,12.0,11.0,11.0
489,12.0,13.0,11.0,11.0
490,12.0,12.0,11.0,11.0
491,12.0,12.0,11.0,11.0
492,11.0,12.0,11.0,12.0
493,12.0,12.0,12.0,12.0
494,12.0,12.0,11.0,12.0
495,12.0,12.0,12.0,12.0
496,11.0,12.0,11.0,12.0
497,12.0,13.0,11.0,12.0
498,11.0,12.0,11.0,11.0
499,11.0,12.0,11.0,11.0
500,11.0,12.0,11.0,11.0
501,11.0,12.0,11.0,11.0
502,12.0,12.0,11.0,11.0
503,12.0,12.0,11.0,11.0
504,12.0,12.0,11.0,11.0
505,11.0,12.0,11.0,11.0
506,12.0,12.0,11.0,11.0
507,12.0,12.0,11.0,11.0
508,13.0,13.0,11.0,11.0
509,12.0,13.0,12.0,12.0
510,12.0,12.0,12.0,12.0
511,12.0,12.0,12.0,12.0
512,12.0,12.0,11.0,11.0
513,13.0,13.0,11.0,11.0
514,13.0,13.0,11.0,11.0
515,12.0,12.0,11.0,11.0
516,11.0,12.0,11.0,11.0
517,11.0,12.0,12.0,12.0
518,11.0,12.0,11.0,11.0
519,11.0,12.0,11.0,11.0
520,12.0,12.0,11.0,11.0
521,13.0,13.0,11.0,11.0
522,13.0,13.0,11.0,11.0
523,14.0,13.0,11.0,11.0
524,11.0,12.0,11.0,11.0
525,11.0,12.0,11.0,11.0
526,12.0,12.0,11.0,11.0
527,11.0,12.0,11.0,11.0
528,11.0,12.0,12.0,12.0
529,11.0,12.0,12.0,12.0
530,11.0,12.0,12.0,12.0
531,12.0,12.0,12.0,12.0
532,12.0,12.0,11.0,11.0
533,11.0,12.0,11.0,11.0
534,11.0,12.0,11.0,11.0
535,11.0,12.0,11.0,11.0
536,11.0,12.0,11.0,11.0
537,11.0,12.0,11.0,11.0
538,12.0,12.0,11.0,11.0
539,12.0,12.0,11.0,11.0
540,13.0,14.0,11.0,11.0
541,12.0,12.0,11.0,11.0
542,12.0,12.0,11.0,11.0
543,11.0,12.0,11.0,11.0
544,11.0,12.0,11.0,11.0
545,11.0,12.0,11.0,11.0
546,12.0,12.0,11.0,11.0
547,11.0,12.0,11.0,11.0
548,11.0,12.0,11.0,11.0
549,12.0,12.0,11.0,11.0
550,12.0,12.0,11.0,11.0
551,12.0,12.0,11.0,11.0
552,12.0,12.0,11.0,11.0
553,12.0,12.0,11.0,11.0
554,12.0,12.0,11.0,11.0
555,12.0,12.0,11.0,11.0
556,12.0,12.0,11.0,11.0
557,12.0,12.0,11.0,11.0
558,12.0,12.0,11.0,11.0
559,11.0,12.0,11.0,11.0
560,12.0,12.0,11.0,11.0
561,11.0,12.0,11.0,11.0
562,11.0,12.0,11.0,11.0
563,12.0,12.0,11.0,11.0
564,11.0,12.0,11.0,11.0
565,11.0,12.0,11.0,11.0
566,11.0,12.0,11.0,11.0
567,11.0,12.0,11.0,11.0
568,12.0,12.0,11.0,11.0
569,13.0,13.0,11.0,11.0
570,13.0,13.0,11.0,11.0
571,13.0,13.0,11.0,11.0
572,11.0,12.0,11.0,11.0
573,11.0,12.0,11.0,11.0
574,11.0,12.0,11.0,11.0
575,13.0,13.0,11.0,11.0
576,13.0,13.0,11.0,11.0
577,13.0,13.0,11.0,11.0
578,12.0,12.0,11.0,11.0
579,11.0,12.0,11.0,11.0
580,12.0,12.0,11.0,11.0
581,13.0,13.0,11.0,11.0
582,12.0,12.0,11.0,11.0
583,12.0,12.0,11.0,11.0
584,11.0,12.0,11.0,11.0
585,11.0,12.0,11.0,11.0
586,11.0,12.0,11.0,11.0
587,11.0,12.0,11.0,11.0
588,11.0,12.0,11.0,11.0
589,11.0,12.0,11.0,11.0
590,11.0,12.0,11.0,11.0
591,11.0,12.0,11.0,11.0
592,11.0,12.0,11.0,11.0
593,11.0,12.0,11.0,11.0
594,11.0,12.0,11.0,11.0
595,11.0,12.0,11.0,11.0
596,11.0,12.0,11.0,11.0
597,11.0,12.0,11.0,11.0
598,12.0,12.0,11.0,11.0
599,11.0,12.0,11.0,11.0
600,12.0,12.0,11.0,11.0
601,11.0,12.0,11.0,11.0
602,11.0,12.0,11.0,11.0
603,11.0,12.0,11.0,11.0
604,13.0,13.0,11.0,11.0
605,12.0,12.0,11.0,11.0
606,12.0,12.0,11.0,11.0
607,12.0,12.0,11.0,11.0
608,11.0,12.0,11.0,11.0
609,11.0,12.0,11.0,11.0
610,11.0,12.0,11.0,11.0
611,11.0,12.0,11.0,11.0
612,11.0,12.0,11.0,11.0
613,11.0,12.0,11.0,11.0
614,11.0,12.0,11.0,11.0
615,11.0,12.0,11.0,11.0
616,11.0,12.0,11.0,11.0
617,12.0,12.0,11.0,11.0
618,13.0,13.0,11.0,11.0
619,13.0,13.0,11.0,11.0
620,12.0,12.0,11.0,11.0
621,11.0,12.0,11.0,11.0
