,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
736,11.0,12.0,11.0,11.0
737,11.0,12.0,11.0,11.0
738,11.0,12.0,11.0,11.0
739,11.0,12.0,11.0,11.0
740,11.0,12.0,11.0,11.0
741,11.0,12.0,11.0,11.0
742,11.0,12.0,11.0,11.0
743,11.0,12.0,11.0,11.0
744,11.0,12.0,11.0,11.0
745,12.0,12.0,11.0,11.0
746,13.0,14.0,11.0,11.0
747,14.0,14.0,11.0,11.0
748,13.0,13.0,11.0,11.0
749,12.0,12.0,11.0,11.0
750,11.0,12.0,11.0,11.0
751,11.0,12.0,11.0,11.0
752,11.0,12.0,11.0,11.0
753,11.0,12.0,11.0,11.0
754,11.0,12.0,11.0,11.0
755,11.0,12.0,11.0,11.0
756,11.0,12.0,11.0,11.0
757,13.0,12.0,11.0,11.0
758,13.0,12.0,11.0,11.0
759,13.0,12.0,11.0,11.0
760,13.0,13.0,11.0,11.0
761,12.0,12.0,11.0,11.0
762,12.0,13.0,11.0,11.0
763,13.0,14.0,11.0,11.0
764,13.0,13.0,11.0,11.0
765,12.0,13.0,11.0,11.0
766,12.0,13.0,11.0,11.0
767,13.0,14.0,11.0,11.0
768,12.0,13.0,11.0,11.0
769,13.0,13.0,11.0,11.0
770,12.0,12.0,11.0,11.0
771,13.0,13.0,11.0,11.0
772,13.0,14.0,11.0,11.0
773,13.0,13.0,11.0,11.0
774,12.0,12.0,11.0,11.0
775,11.0,12.0,11.0,11.0
776,11.0,12.0,11.0,11.0
777,11.0,12.0,11.0,12.0
778,11.0,12.0,11.0,11.0
779,11.0,12.0,11.0,12.0
780,11.0,12.0,11.0,11.0
781,12.0,12.0,11.0,11.0
782,12.0,13.0,11.0,11.0
783,13.0,14.0,11.0,12.0
784,12.0,13.0,11.0,12.0
785,12.0,13.0,11.0,12.0
786,12.0,13.0,11.0,12.0
787,13.0,13.0,12.0,12.0
788,12.0,13.0,12.0,12.0
789,12.0,13.0,12.0,13.0
790,12.0,12.0,11.0,11.0
791,13.0,13.0,11.0,11.0
792,13.0,13.0,11.0,12.0
793,13.0,14.0,11.0,12.0
794,13.0,14.0,12.0,12.0
795,13.0,13.0,12.0,12.0
796,13.0,13.0,12.0,12.0
797,13.0,13.0,13.0,13.0
798,13.0,14.0,13.0,13.0
799,14.0,14.0,13.0,13.0
800,13.0,13.0,14.0,14.0
801,13.0,13.0,14.0,15.0
802,12.0,13.0,15.0,15.0
803,12.0,13.0,15.0,16.0
804,12.0,13.0,15.0,16.0
805,12.0,13.0,15.0,15.0
806,12.0,13.0,15.0,15.0
807,13.0,13.0,15.0,15.0
808,13.0,14.0,15.0,15.0
809,14.0,14.0,15.0,15.0
810,14.0,15.0,15.0,16.0
811,14.0,15.0,14.0,15.0
812,14.0,15.0,15.0,15.0
813,13.0,14.0,15.0,15.0
814,13.0,14.0,15.0,15.0
815,14.0,14.0,15.0,15.0
816,14.0,15.0,14.0,14.0
817,14.0,15.0,14.0,15.0
818,15.0,15.0,14.0,14.0
819,15.0,15.0,14.0,14.0
820,15.0,15.0,14.0,14.0
821,14.0,14.0,13.0,14.0
822,13.0,14.0,13.0,13.0
823,13.0,14.0,13.0,13.0
824,14.0,14.0,13.0,14.0
825,14.0,14.0,13.0,14.0
826,14.0,14.0,13.0,14.0
827,14.0,14.0,13.0,14.0
828,14.0,14.0,13.0,14.0
829,13.0,14.0,13.0,14.0
830,14.0,14.0,14.0,15.0
831,14.0,14.0,15.0,15.0
832,14.0,14.0,15.0,15.0
833,14.0,14.0,15.0,15.0
834,14.0,14.0,16.0,16.0
835,13.0,14.0,16.0,16.0
836,13.0,13.0,16.0,16.0
837,13.0,13.0,16.0,17.0
838,13.0,14.0,17.0,18.0
839,14.0,15.0,17.0,18.0
840,14.0,15.0,17.0,17.0
841,14.0,14.0,16.0,17.0
842,14.0,15.0,16.0,17.0
843,15.0,15.0,16.0,17.0
844,15.0,15.0,16.0,16.0
845,14.0,15.0,15.0,15.0
846,14.0,15.0,15.0,15.0
847,14.0,14.0,15.0,16.0
848,14.0,14.0,15.0,16.0
849,14.0,14.0,15.0,15.0
850,15.0,15.0,12.0,13.0
851,15.0,15.0,12.0,12.0
852,15.0,16.0,12.0,12.0
853,15.0,15.0,12.0,12.0
854,15.0,15.0,13.0,13.0
855,15.0,15.0,13.0,13.0
856,15.0,16.0,13.0,13.0
857,16.0,16.0,14.0,14.0
858,16.0,15.0,15.0,15.0
859,15.0,15.0,15.0,16.0
860,14.0,15.0,17.0,17.0
861,13.0,14.0,16.0,17.0
862,14.0,15.0,18.0,19.0
863,15.0,15.0,19.0,20.0
864,14.0,15.0,19.0,20.0
865,14.0,15.0,19.0,20.0
866,14.0,15.0,20.0,20.0
867,14.0,15.0,19.0,20.0
868,14.0,15.0,19.0,19.0
869,14.0,15.0,17.0,18.0
870,15.0,15.0,15.0,15.0
871,15.0,15.0,14.0,14.0
872,15.0,16.0,12.0,13.0
873,15.0,16.0,12.0,12.0
874,15.0,15.0,12.0,12.0
875,15.0,15.0,12.0,11.0
876,15.0,15.0,12.0,11.0
877,14.0,14.0,13.0,12.0
878,14.0,14.0,13.0,13.0
879,13.0,14.0,13.0,13.0
880,13.0,13.0,13.0,13.0
881,13.0,13.0,13.0,13.0
882,13.0,14.0,13.0,13.0
883,13.0,14.0,13.0,13.0
884,13.0,13.0,13.0,14.0
885,13.0,13.0,14.0,14.0
886,13.0,13.0,14.0,14.0
887,12.0,13.0,13.0,14.0
888,12.0,13.0,13.0,14.0
889,12.0,13.0,13.0,14.0
890,13.0,14.0,13.0,14.0
891,13.0,14.0,13.0,13.0
892,13.0,14.0,13.0,13.0
893,13.0,14.0,13.0,14.0
894,12.0,13.0,14.0,15.0
895,13.0,13.0,13.0,14.0
896,13.0,13.0,12.0,12.0
897,12.0,13.0,12.0,12.0
898,13.0,13.0,12.0,12.0
899,13.0,13.0,12.0,13.0
900,12.0,13.0,12.0,13.0
901,12.0,13.0,13.0,13.0
902,13.0,13.0,12.0,12.0
903,12.0,13.0,12.0,12.0
904,13.0,13.0,12.0,12.0
905,12.0,12.0,12.0,12.0
906,12.0,12.0,12.0,12.0
907,13.0,13.0,12.0,12.0
908,12.0,13.0,12.0,12.0
909,12.0,13.0,12.0,13.0
910,12.0,13.0,12.0,12.0
911,12.0,13.0,12.0,12.0
912,13.0,13.0,12.0,12.0
913,13.0,13.0,12.0,12.0
914,12.0,13.0,12.0,12.0
915,13.0,14.0,12.0,12.0
916,13.0,13.0,13.0,13.0
917,13.0,13.0,12.0,13.0
918,13.0,13.0,12.0,12.0
919,13.0,13.0,12.0,12.0
920,13.0,13.0,12.0,12.0
921,12.0,13.0,12.0,12.0
922,13.0,13.0,12.0,12.0
923,13.0,14.0,12.0,12.0
924,13.0,12.0,13.0,13.0
925,12.0,12.0,13.0,13.0
926,12.0,12.0,12.0,12.0
927,12.0,12.0,11.0,12.0
928,12.0,12.0,12.0,12.0
929,12.0,12.0,12.0,12.0
930,12.0,12.0,12.0,12.0
931,12.0,12.0,12.0,12.0
932,13.0,12.0,14.0,14.0
933,13.0,12.0,13.0,13.0
934,12.0,12.0,12.0,12.0
935,12.0,12.0,12.0,12.0
936,12.0,12.0,12.0,12.0
937,12.0,12.0,12.0,12.0
938,12.0,13.0,11.0,12.0
939,12.0,13.0,11.0,12.0
940,13.0,14.0,11.0,12.0
941,12.0,13.0,11.0,12.0
942,12.0,13.0,11.0,12.0
943,12.0,13.0,11.0,12.0
944,12.0,12.0,11.0,12.0
945,12.0,12.0,11.0,11.0
946,12.0,12.0,11.0,11.0
947,12.0,12.0,11.0,11.0
948,12.0,12.0,11.0,11.0
949,12.0,12.0,12.0,11.0
950,11.0,12.0,11.0,11.0
951,12.0,12.0,11.0,11.0
952,12.0,12.0,11.0,11.0
953,12.0,12.0,11.0,11.0
954,13.0,13.0,11.0,11.0
955,12.0,12.0,11.0,11.0
956,11.0,12.0,12.0,12.0
957,11.0,12.0,11.0,11.0
958,11.0,12.0,11.0,11.0
959,11.0,12.0,11.0,11.0
960,12.0,12.0,11.0,11.0
961,12.0,12.0,11.0,11.0
962,12.0,12.0,11.0,11.0
963,12.0,13.0,11.0,11.0
964,12.0,12.0,11.0,11.0
965,13.0,13.0,11.0,11.0
966,12.0,12.0,11.0,11.0
967,11.0,12.0,11.0,11.0
968,11.0,12.0,11.0,11.0
969,11.0,12.0,11.0,11.0
970,12.0,12.0,11.0,11.0
971,12.0,12.0,11.0,11.0
972,12.0,12.0,11.0,11.0
973,12.0,12.0,11.0,11.0
974,14.0,13.0,11.0,11.0
975,12.0,12.0,11.0,11.0
976,12.0,12.0,11.0,11.0
977,11.0,12.0,11.0,11.0
978,11.0,12.0,11.0,11.0
979,12.0,12.0,11.0,11.0
980,12.0,12.0,11.0,11.0
981,12.0,12.0,11.0,11.0
982,12.0,12.0,11.0,11.0
983,12.0,12.0,11.0,11.0
984,11.0,12.0,11.0,11.0
985,11.0,12.0,11.0,11.0
986,11.0,12.0,11.0,11.0
987,11.0,12.0,11.0,11.0
988,12.0,12.0,11.0,11.0
989,11.0,12.0,11.0,11.0
990,11.0,12.0,11.0,11.0
991,11.0,12.0,11.0,11.0
992,11.0,12.0,11.0,11.0
993,11.0,12.0,11.0,11.0
994,11.0,12.0,11.0,11.0
995,12.0,12.0,11.0,11.0
996,12.0,12.0,11.0,11.0
997,11.0,12.0,11.0,11.0
998,11.0,12.0,11.0,11.0
999,12.0,12.0,11.0,11.0
